event_id,date,warehouse_id,product_id,location_code,quantity_picked,pick_duration_seconds
E00015,2024-11-01,WH3,P005,WH3-Z1-A1-R3-S1,10,16.8
E00015,2024-11-01,WH3,P020,WH3-Z3-A4-R3-S2,2,71.3
E00016,2024-04-12,WH3,P002,WH3-Z4-A1-R1-S1,9,94.5
E00016,2024-04-12,WH3,P006,WH3-Z1-A1-R2-S2,7,73.6
E00016,2024-04-12,WH3,P013,WH3-Z3-A4-R2-S3,7,75.5
E00017,2024-02-21,WH2,P001,WH2-Z1-A2-R4-S1,10,55.1
E00018,2024-07-09,WH3,P004,WH3-Z2-A1-R5-S2,9,68.7
E00018,2024-07-09,WH3,P005,WH3-Z3-A4-R3-S1,6,57.2
E00018,2024-07-09,WH3,P002,WH3-Z4-A1-R1-S1,6,60.4
E00019,2024-01-15,WH1,P009,WH1-Z4-A1-R3-S2,8,98.8
E00019,2024-01-15,WH1,P018,WH1-Z4-A3-R3-S3,5,27.2
E00019,2024-01-15,WH1,P013,WH1-Z3-A4-R3-S3,8,41.1
E00019,2024-01-15,WH1,P012,WH1-Z4-A2-R2-S1,1,50.7
E00019,2024-01-15,WH1,P010,WH1-Z4-A2-R3-S1,5,15.7
E00020,2024-02-12,WH1,P018,WH1-Z4-A4-R3-S1,3,123.9
E00020,2024-02-12,WH1,P011,WH1-Z4-A4-R2-S1,8,19.2
E00021,2024-04-22,WH2,P018,WH2-Z1-A1-R5-S1,5,48.0
E00021,2024-04-22,WH2,P001,WH2-Z4-A3-R3-S1,7,85.0
E00022,2024-03-31,WH3,P011,WH3-Z4-A3-R1-S3,7,109.8
E00022,2024-03-31,WH3,P006,WH3-Z4-A2-R3-S1,5,29.5
E00022,2024-03-31,WH3,P006,WH3-Z1-A1-R2-S2,9,80.6
E00023,2024-10-28,WH2,P010,WH2-Z3-A1-R5-S2,1,88.2
E00024,2024-11-18,WH2,P018,WH2-Z4-A2-R2-S2,10,104.7
E00024,2024-11-18,WH2,P015,WH2-Z4-A4-R2-S1,8,28.3
E00024,2024-11-18,WH2,P013,WH2-Z1-A4-R5-S2,8,76.5
E00024,2024-11-18,WH2,P010,WH2-Z3-A1-R5-S2,8,69.7
E00025,2024-02-18,WH2,P016,WH2-Z3-A3-R3-S1,2,94.2
E00026,2024-02-17,WH2,P012,WH2-Z4-A3-R3-S3,8,112.9
E00026,2024-02-17,WH2,P001,WH2-Z4-A1-R1-S2,6,34.2
E00026,2024-02-17,WH2,P019,WH2-Z2-A3-R3-S3,7,69.6
E00026,2024-02-17,WH2,P018,WH2-Z1-A1-R5-S1,2,54.7
E00027,2024-06-04,WH2,P004,WH2-Z1-A1-R3-S3,2,45.9
E00027,2024-06-04,WH2,P020,WH2-Z4-A2-R5-S3,10,77.6
E00028,2024-07-01,WH3,P005,WH3-Z3-A4-R3-S1,5,105.4
E00028,2024-07-01,WH3,P008,WH3-Z1-A3-R3-S3,6,61.4
E00028,2024-07-01,WH3,P016,WH3-Z1-A4-R2-S3,3,24.7
E00029,2024-10-31,WH3,P005,WH3-Z3-A4-R3-S1,4,105.9
E00029,2024-10-31,WH3,P009,WH3-Z3-A4-R4-S2,8,15.9
E00029,2024-10-31,WH3,P020,WH3-Z3-A4-R3-S2,6,17.0
E00029,2024-10-31,WH3,P019,WH3-Z4-A1-R2-S3,7,57.7
E00030,2024-10-21,WH1,P010,WH1-Z3-A2-R4-S3,1,89.7
E00030,2024-10-21,WH1,P011,WH1-Z2-A1-R1-S2,5,49.0
E00030,2024-10-21,WH1,P015,WH1-Z4-A3-R3-S1,2,72.3
E00030,2024-10-21,WH1,P016,WH1-Z4-A2-R1-S2,8,24.4
E00031,2024-10-28,WH3,P009,WH3-Z3-A4-R4-S2,3,103.8
E00032,2024-10-26,WH2,P002,WH2-Z2-A4-R2-S2,7,85.0
E00032,2024-10-26,WH2,P016,WH2-Z3-A3-R3-S1,2,42.1
E00032,2024-10-26,WH2,P002,WH2-Z2-A4-R2-S2,7,41.7
E00033,2024-02-07,WH1,P018,WH1-Z4-A4-R3-S1,3,119.8
E00033,2024-02-07,WH1,P011,WH1-Z4-A4-R2-S1,4,13.9
E00033,2024-02-07,WH1,P018,WH1-Z4-A4-R3-S1,1,19.6
E00033,2024-02-07,WH1,P010,WH1-Z4-A2-R3-S1,8,28.5
E00033,2024-02-07,WH1,P014,WH1-Z4-A1-R1-S2,2,27.1
E00034,2024-08-01,WH1,P018,WH1-Z4-A3-R3-S3,1,114.6
E00034,2024-08-01,WH1,P014,WH1-Z4-A1-R1-S3,7,31.0
E00035,2024-07-07,WH2,P020,WH2-Z4-A2-R5-S3,2,112.1
E00035,2024-07-07,WH2,P003,WH2-Z3-A4-R1-S2,7,55.5
E00035,2024-07-07,WH2,P004,WH2-Z1-A1-R3-S3,3,74.3
E00035,2024-07-07,WH2,P019,WH2-Z2-A3-R3-S1,7,49.4
E00035,2024-07-07,WH2,P018,WH2-Z4-A2-R2-S2,10,57.9
E00036,2024-05-22,WH2,P015,WH2-Z4-A4-R2-S1,9,120.3
E00037,2024-08-14,WH1,P016,WH1-Z4-A2-R1-S2,6,104.9
E00037,2024-08-14,WH1,P010,WH1-Z4-A2-R3-S1,3,20.4
E00037,2024-08-14,WH1,P012,WH1-Z4-A2-R2-S1,4,17.1
E00037,2024-08-14,WH1,P010,WH1-Z3-A2-R4-S3,6,36.0
E00038,2024-01-14,WH3,P017,WH3-Z3-A1-R3-S2,8,79.8
E00038,2024-01-14,WH3,P008,WH3-Z1-A3-R3-S3,7,67.2
E00039,2024-10-21,WH2,P012,WH2-Z4-A3-R3-S3,5,116.9
E00039,2024-10-21,WH2,P016,WH2-Z3-A3-R3-S1,2,35.3
E00039,2024-10-21,WH2,P016,WH2-Z3-A3-R3-S1,7,13.2
E00039,2024-10-21,WH2,P016,WH2-Z3-A3-R3-S1,5,15.3
E00039,2024-10-21,WH2,P009,WH2-Z2-A4-R3-S2,6,39.1
E00040,2024-09-07,WH1,P012,WH1-Z4-A2-R2-S1,5,104.6
E00041,2024-02-25,WH1,P014,WH1-Z4-A1-R1-S3,2,95.7
E00041,2024-02-25,WH1,P016,WH1-Z4-A2-R1-S2,8,22.5
E00041,2024-02-25,WH1,P014,WH1-Z4-A1-R1-S2,8,24.9
E00041,2024-02-25,WH1,P009,WH1-Z4-A1-R3-S2,2,18.5
E00042,2024-12-05,WH1,P018,WH1-Z4-A3-R3-S3,6,118.5
E00042,2024-12-05,WH1,P007,WH1-Z2-A2-R5-S1,3,61.0
E00043,2024-07-14,WH3,P006,WH3-Z1-A1-R2-S2,6,43.3
E00044,2024-08-18,WH3,P005,WH3-Z3-A2-R3-S3,6,90.2
E00044,2024-08-18,WH3,P005,WH3-Z3-A2-R3-S3,1,12.7
E00044,2024-08-18,WH3,P008,WH3-Z1-A3-R3-S3,3,59.1
E00044,2024-08-18,WH3,P004,WH3-Z2-A1-R5-S2,6,48.8
E00045,2024-11-17,WH2,P001,WH2-Z3-A1-R2-S1,2,82.3
E00045,2024-11-17,WH2,P003,WH2-Z3-A4-R1-S2,1,40.1
E00045,2024-11-17,WH2,P019,WH2-Z2-A3-R3-S1,10,44.6
E00045,2024-11-17,WH2,P007,WH2-Z2-A1-R3-S1,4,31.5
E00046,2024-06-15,WH3,P020,WH3-Z3-A3-R4-S1,10,100.4
E00047,2024-08-18,WH2,P019,WH2-Z2-A3-R3-S1,8,76.0
E00047,2024-08-18,WH2,P013,WH2-Z1-A4-R5-S2,7,45.4
E00048,2024-02-21,WH2,P008,WH2-Z1-A4-R1-S2,1,67.4
E00048,2024-02-21,WH2,P003,WH2-Z3-A4-R1-S2,4,49.1
E00048,2024-02-21,WH2,P001,WH2-Z3-A1-R2-S1,3,39.0
E00048,2024-02-21,WH2,P013,WH2-Z1-A4-R5-S2,2,81.2
E00048,2024-02-21,WH2,P009,WH2-Z2-A3-R2-S2,8,45.4
E00049,2024-07-07,WH1,P004,WH1-Z2-A2-R1-S2,4,65.7
E00049,2024-07-07,WH1,P016,WH1-Z4-A2-R1-S2,6,53.4
E00050,2024-04-08,WH3,P017,WH3-Z1-A1-R1-S1,6,45.5
E00050,2024-04-08,WH3,P005,WH3-Z3-A4-R3-S1,8,76.8
E00050,2024-04-08,WH3,P017,WH3-Z3-A1-R3-S2,4,37.5
E00050,2024-04-08,WH3,P020,WH3-Z3-A4-R3-S2,2,35.5
E00050,2024-04-08,WH3,P011,WH3-Z4-A3-R1-S3,10,46.5
E00051,2024-09-10,WH3,P005,WH3-Z3-A4-R4-S3,6,107.1
E00052,2024-11-09,WH1,P003,WH1-Z3-A1-R5-S2,5,85.1
E00052,2024-11-09,WH1,P007,WH1-Z2-A4-R2-S3,2,62.6
E00052,2024-11-09,WH1,P003,WH1-Z3-A1-R5-S2,1,58.5
E00053,2024-06-27,WH1,P004,WH1-Z2-A2-R1-S2,4,70.7
E00053,2024-06-27,WH1,P013,WH1-Z3-A4-R3-S3,5,48.9
E00053,2024-06-27,WH1,P015,WH1-Z4-A3-R3-S1,7,41.5
E00053,2024-06-27,WH1,P007,WH1-Z2-A4-R2-S3,2,59.9
E00054,2024-02-26,WH3,P005,WH3-Z3-A4-R4-S3,7,108.8
E00054,2024-02-26,WH3,P020,WH3-Z3-A4-R3-S2,3,16.7
E00054,2024-02-26,WH3,P011,WH3-Z4-A3-R1-S3,2,42.2
E00055,2024-01-14,WH1,P014,WH1-Z4-A1-R1-S2,5,94.2
E00056,2024-01-02,WH1,P011,WH1-Z2-A1-R1-S2,1,60.6
E00056,2024-01-02,WH1,P018,WH1-Z4-A4-R3-S1,8,78.7
E00056,2024-01-02,WH1,P004,WH1-Z2-A2-R1-S2,10,68.1
E00056,2024-01-02,WH1,P003,WH1-Z3-A1-R5-S2,5,47.8
E00056,2024-01-02,WH1,P011,WH1-Z2-A1-R1-S2,4,37.9
E00057,2024-08-16,WH3,P005,WH3-Z3-A2-R3-S3,2,92.9
E00058,2024-11-07,WH1,P007,WH1-Z2-A4-R2-S3,5,86.9
E00058,2024-11-07,WH1,P011,WH1-Z4-A4-R2-S1,5,53.9
E00059,2024-03-16,WH2,P007,WH2-Z2-A1-R3-S1,6,66.7
E00060,2024-02-14,WH3,P017,WH3-Z3-A4-R3-S3,4,106.9
E00061,2024-12-19,WH2,P009,WH2-Z2-A4-R3-S2,10,86.2
E00061,2024-12-19,WH2,P013,WH2-Z1-A4-R5-S2,3,37.6
E00062,2024-03-20,WH1,P014,WH1-Z4-A1-R1-S2,2,98.4
E00062,2024-03-20,WH1,P012,WH1-Z4-A2-R2-S1,4,24.8
E00063,2024-09-13,WH1,P016,WH1-Z4-A2-R1-S2,5,101.7
E00063,2024-09-13,WH1,P010,WH1-Z4-A2-R3-S1,1,17.1
E00063,2024-09-13,WH1,P018,WH1-Z4-A3-R3-S3,9,21.3
E00064,2024-01-14,WH1,P011,WH1-Z4-A4-R2-S1,4,117.6
E00065,2024-12-06,WH2,P003,WH2-Z3-A4-R1-S2,5,98.4
E00065,2024-12-06,WH2,P001,WH2-Z3-A1-R2-S1,9,36.9
E00065,2024-12-06,WH2,P010,WH2-Z3-A1-R5-S2,9,18.5
E00065,2024-12-06,WH2,P019,WH2-Z2-A3-R3-S1,9,50.5
E00065,2024-12-06,WH2,P019,WH2-Z2-A3-R3-S3,6,19.0
E00066,2024-01-15,WH2,P009,WH2-Z2-A4-R3-S2,1,86.6
E00066,2024-01-15,WH2,P009,WH2-Z2-A3-R2-S2,9,22.6
E00066,2024-01-15,WH2,P001,WH2-Z4-A3-R3-S1,9,55.4
E00066,2024-01-15,WH2,P013,WH2-Z1-A4-R5-S2,1,79.3
E00067,2024-01-19,WH2,P012,WH2-Z4-A3-R3-S3,5,113.8
E00067,2024-01-19,WH2,P019,WH2-Z2-A3-R3-S1,9,52.1
E00068,2024-10-21,WH3,P016,WH3-Z1-A4-R2-S3,6,69.8
E00068,2024-10-21,WH3,P017,WH3-Z1-A1-R1-S1,2,39.1
E00068,2024-10-21,WH3,P006,WH3-Z4-A2-R3-S1,2,79.7
E00068,2024-10-21,WH3,P003,WH3-Z3-A1-R1-S2,9,43.4
E00068,2024-10-21,WH3,P006,WH3-Z1-A1-R2-S2,6,51.7
E00069,2024-01-07,WH1,P015,WH1-Z4-A3-R3-S1,7,112.2
E00069,2024-01-07,WH1,P007,WH1-Z2-A4-R2-S3,7,60.2
E00069,2024-01-07,WH1,P016,WH1-Z4-A2-R1-S2,1,70.3
E00069,2024-01-07,WH1,P016,WH1-Z4-A2-R1-S2,5,14.6
E00069,2024-01-07,WH1,P002,WH1-Z1-A3-R4-S3,2,79.8
E00070,2024-03-14,WH1,P015,WH1-Z4-A3-R3-S1,9,117.3
E00070,2024-03-14,WH1,P018,WH1-Z4-A3-R3-S3,6,18.5
E00070,2024-03-14,WH1,P013,WH1-Z3-A4-R3-S3,5,43.1
E00070,2024-03-14,WH1,P016,WH1-Z4-A2-R1-S2,4,51.4
E00071,2024-04-03,WH2,P001,WH2-Z3-A2-R2-S2,9,85.7
E00072,2024-12-13,WH1,P004,WH1-Z2-A2-R1-S2,2,66.5
E00073,2024-09-17,WH3,P020,WH3-Z3-A4-R3-S2,3,106.0
E00073,2024-09-17,WH3,P005,WH3-Z3-A2-R3-S3,5,29.8
E00074,2024-01-03,WH3,P014,WH3-Z3-A4-R2-S2,5,101.2
E00074,2024-01-03,WH3,P013,WH3-Z3-A4-R2-S3,3,15.9
E00074,2024-01-03,WH3,P005,WH3-Z1-A1-R3-S1,1,74.6
E00074,2024-01-03,WH3,P008,WH3-Z1-A3-R3-S3,10,28.9
E00075,2024-01-19,WH1,P012,WH1-Z4-A2-R2-S1,4,104.2
E00075,2024-01-19,WH1,P013,WH1-Z3-A4-R3-S3,5,47.5
E00075,2024-01-19,WH1,P018,WH1-Z4-A3-R3-S3,9,37.6
E00076,2024-08-11,WH2,P001,WH2-Z3-A2-R2-S2,9,85.9
E00076,2024-08-11,WH2,P020,WH2-Z4-A3-R1-S1,4,40.7
E00076,2024-08-11,WH2,P008,WH2-Z1-A4-R1-S2,1,74.3
E00076,2024-08-11,WH2,P010,WH2-Z3-A1-R5-S2,6,82.8
E00077,2024-11-20,WH2,P001,WH2-Z3-A2-R2-S2,1,87.0
E00077,2024-11-20,WH2,P020,WH2-Z4-A3-R1-S1,9,42.3
E00077,2024-11-20,WH2,P009,WH2-Z2-A4-R3-S2,9,61.6
E00078,2024-08-05,WH1,P011,WH1-Z2-A1-R1-S2,1,61.8
E00078,2024-08-05,WH1,P011,WH1-Z2-A1-R1-S2,7,16.9
E00079,2024-02-02,WH3,P006,WH3-Z4-A2-R3-S1,3,105.6
E00079,2024-02-02,WH3,P017,WH3-Z1-A1-R1-S1,9,80.9
E00079,2024-02-02,WH3,P005,WH3-Z3-A4-R3-S1,7,78.0
E00079,2024-02-02,WH3,P003,WH3-Z3-A1-R1-S2,4,37.8
E00080,2024-10-07,WH3,P020,WH3-Z3-A4-R3-S2,2,105.9
E00080,2024-10-07,WH3,P015,WH3-Z3-A1-R2-S3,9,37.8
E00080,2024-10-07,WH3,P002,WH3-Z4-A1-R1-S1,8,35.7
E00080,2024-10-07,WH3,P006,WH3-Z3-A1-R2-S2,1,35.5
E00080,2024-10-07,WH3,P020,WH3-Z3-A4-R3-S2,10,39.8
E00081,2024-03-19,WH1,P002,WH1-Z1-A3-R4-S3,8,66.1
E00081,2024-03-19,WH1,P014,WH1-Z4-A1-R1-S2,5,87.6
E00081,2024-03-19,WH1,P018,WH1-Z4-A4-R3-S1,4,39.8
E00082,2024-08-21,WH3,P004,WH3-Z2-A1-R5-S2,10,65.7
E00082,2024-08-21,WH3,P011,WH3-Z4-A3-R1-S3,1,70.9
E00083,2024-09-04,WH1,P014,WH1-Z4-A1-R1-S3,7,98.3
E00083,2024-09-04,WH1,P004,WH1-Z2-A2-R1-S2,9,57.1
E00083,2024-09-04,WH1,P008,WH1-Z3-A2-R1-S2,9,34.4
E00083,2024-09-04,WH1,P009,WH1-Z4-A1-R3-S2,9,42.5
E00083,2024-09-04,WH1,P018,WH1-Z4-A4-R3-S1,10,35.0
E00084,2024-06-10,WH3,P017,WH3-Z3-A4-R3-S3,8,105.1
E00084,2024-06-10,WH3,P006,WH3-Z1-A1-R2-S2,3,74.7
E00084,2024-06-10,WH3,P017,WH3-Z3-A1-R3-S2,7,50.3
E00085,2024-12-10,WH2,P001,WH2-Z1-A2-R4-S1,10,54.0
E00085,2024-12-10,WH2,P001,WH2-Z1-A2-R4-S1,4,13.8
E00086,2024-07-26,WH2,P019,WH2-Z2-A3-R3-S1,1,77.2
E00086,2024-07-26,WH2,P019,WH2-Z2-A3-R3-S1,2,16.2
E00086,2024-07-26,WH2,P018,WH2-Z1-A1-R5-S1,9,51.9
E00086,2024-07-26,WH2,P008,WH2-Z1-A4-R1-S2,2,44.9
E00086,2024-07-26,WH2,P020,WH2-Z4-A3-R1-S1,5,76.2
E00087,2024-03-02,WH3,P017,WH3-Z1-A1-R1-S1,6,40.8
E00087,2024-03-02,WH3,P011,WH3-Z3-A1-R5-S2,4,59.7
E00087,2024-03-02,WH3,P005,WH3-Z1-A1-R3-S1,1,55.9
E00088,2024-07-23,WH1,P013,WH1-Z3-A4-R3-S3,5,102.9
E00088,2024-07-23,WH1,P003,WH1-Z3-A1-R5-S2,10,40.1
E00088,2024-07-23,WH1,P014,WH1-Z4-A1-R1-S3,3,43.7
E00089,2024-02-08,WH2,P016,WH2-Z3-A3-R3-S1,1,95.2
E00089,2024-02-08,WH2,P001,WH2-Z1-A2-R4-S1,10,59.3
E00089,2024-02-08,WH2,P001,WH2-Z3-A2-R2-S2,6,56.6
E00090,2024-05-18,WH3,P013,WH3-Z3-A4-R2-S3,7,101.8
E00090,2024-05-18,WH3,P003,WH3-Z4-A3-R3-S1,10,45.5
E00090,2024-05-18,WH3,P017,WH3-Z3-A1-R3-S2,2,50.0
E00091,2024-04-17,WH3,P004,WH3-Z2-A1-R5-S2,8,68.8
E00092,2024-04-13,WH3,P002,WH3-Z4-A1-R1-S1,6,94.2
E00092,2024-04-13,WH3,P012,WH3-Z2-A3-R3-S1,4,66.2
E00092,2024-04-13,WH3,P020,WH3-Z3-A3-R4-S1,2,32.0
E00093,2024-04-30,WH3,P017,WH3-Z3-A4-R3-S3,6,103.6
E00093,2024-04-30,WH3,P009,WH3-Z3-A4-R4-S2,7,18.4
E00093,2024-04-30,WH3,P006,WH3-Z4-A2-R3-S1,9,49.6
E00093,2024-04-30,WH3,P013,WH3-Z3-A4-R2-S3,4,51.6
E00093,2024-04-30,WH3,P017,WH3-Z1-A1-R1-S1,3,77.6
E00094,2024-09-05,WH2,P001,WH2-Z1-A2-R4-S1,10,54.2
E00094,2024-09-05,WH2,P009,WH2-Z2-A3-R2-S2,4,42.9
E00094,2024-09-05,WH2,P020,WH2-Z4-A2-R5-S3,1,66.7
E00095,2024-07-21,WH1,P007,WH1-Z2-A4-R2-S3,1,84.4
E00095,2024-07-21,WH1,P015,WH1-Z4-A3-R3-S1,7,60.4
E00095,2024-07-21,WH1,P018,WH1-Z4-A4-R3-S1,5,20.8
E00096,2024-02-04,WH3,P017,WH3-Z3-A4-R3-S3,3,102.3
E00096,2024-02-04,WH3,P012,WH3-Z2-A3-R3-S1,4,40.7
E00096,2024-02-04,WH3,P015,WH3-Z3-A1-R2-S3,2,49.9
E00096,2024-02-04,WH3,P005,WH3-Z3-A4-R3-S1,7,40.3
E00096,2024-02-04,WH3,P005,WH3-Z3-A4-R4-S3,2,19.3
E00097,2024-04-19,WH1,P011,WH1-Z2-A1-R1-S2,8,63.0
E00097,2024-04-19,WH1,P007,WH1-Z2-A4-R2-S3,3,40.6
E00097,2024-04-19,WH1,P013,WH1-Z3-A4-R3-S3,5,31.9
E00097,2024-04-19,WH1,P011,WH1-Z2-A1-R1-S2,3,58.2
E00098,2024-11-25,WH1,P018,WH1-Z4-A3-R3-S3,2,114.2
E00098,2024-11-25,WH1,P011,WH1-Z2-A1-R1-S2,5,68.6
E00098,2024-11-25,WH1,P007,WH1-Z2-A2-R5-S1,10,27.8
E00098,2024-11-25,WH1,P003,WH1-Z3-A1-R5-S2,5,38.7
E00099,2024-01-16,WH1,P018,WH1-Z4-A4-R3-S1,6,118.8
E00099,2024-01-16,WH1,P007,WH1-Z2-A2-R5-S1,7,68.9
E00099,2024-01-16,WH1,P002,WH1-Z1-A3-R4-S3,10,42.1
E00099,2024-01-16,WH1,P007,WH1-Z2-A4-R2-S3,8,42.3
E00100,2024-07-12,WH2,P001,WH2-Z1-A2-R4-S1,7,52.8
E00101,2024-01-05,WH1,P015,WH1-Z4-A3-R3-S1,4,113.1
E00101,2024-01-05,WH1,P013,WH1-Z3-A4-R3-S3,1,41.9
E00101,2024-01-05,WH1,P011,WH1-Z2-A1-R1-S2,6,58.2
E00101,2024-01-05,WH1,P010,WH1-Z4-A2-R3-S1,6,60.6
E00102,2024-01-28,WH1,P018,WH1-Z4-A4-R3-S1,7,123.1
E00102,2024-01-28,WH1,P016,WH1-Z4-A2-R1-S2,7,34.9
E00103,2024-09-26,WH2,P001,WH2-Z4-A1-R1-S2,2,94.9
E00103,2024-09-26,WH2,P020,WH2-Z4-A2-R5-S3,2,32.7
E00104,2024-10-27,WH1,P002,WH1-Z1-A3-R4-S3,9,61.6
E00105,2024-11-25,WH1,P007,WH1-Z2-A2-R5-S1,7,72.8
E00105,2024-11-25,WH1,P008,WH1-Z3-A2-R1-S2,2,41.9
E00105,2024-11-25,WH1,P003,WH1-Z3-A1-R5-S2,4,30.6
E00106,2024-01-02,WH1,P016,WH1-Z4-A2-R1-S2,7,104.7
E00107,2024-08-16,WH2,P001,WH2-Z1-A2-R4-S1,5,52.3
E00107,2024-08-16,WH2,P018,WH2-Z4-A2-R2-S2,4,76.0
E00107,2024-08-16,WH2,P020,WH2-Z4-A2-R5-S3,9,19.4
E00107,2024-08-16,WH2,P001,WH2-Z1-A2-R4-S1,8,73.4
E00107,2024-08-16,WH2,P001,WH2-Z4-A3-R3-S1,3,80.4
E00108,2024-05-10,WH1,P016,WH1-Z4-A2-R1-S2,7,104.1
E00108,2024-05-10,WH1,P004,WH1-Z2-A2-R1-S2,9,53.1
E00108,2024-05-10,WH1,P018,WH1-Z4-A4-R3-S1,7,66.9
E00108,2024-05-10,WH1,P014,WH1-Z4-A1-R1-S2,8,38.1
E00109,2024-10-09,WH2,P018,WH2-Z4-A2-R2-S2,3,105.8
E00110,2024-09-26,WH1,P007,WH1-Z2-A2-R5-S1,3,72.0
E00110,2024-09-26,WH1,P010,WH1-Z4-A2-R3-S1,4,53.8
E00111,2024-06-05,WH2,P001,WH2-Z1-A2-R4-S1,2,56.8
E00112,2024-01-16,WH3,P008,WH3-Z1-A3-R3-S3,3,60.5
E00112,2024-01-16,WH3,P006,WH3-Z4-A2-R3-S1,7,75.3
E00112,2024-01-16,WH3,P015,WH3-Z3-A1-R2-S3,1,43.1
E00112,2024-01-16,WH3,P006,WH3-Z1-A3-R1-S1,1,66.1
E00112,2024-01-16,WH3,P003,WH3-Z4-A3-R3-S1,4,73.9
E00113,2024-11-16,WH2,P016,WH2-Z3-A3-R3-S1,10,96.2
E00113,2024-11-16,WH2,P001,WH2-Z4-A3-R3-S1,1,34.9
E00114,2024-12-11,WH3,P013,WH3-Z3-A4-R2-S3,7,105.8
E00114,2024-12-11,WH3,P013,WH3-Z3-A4-R2-S3,1,13.9
E00114,2024-12-11,WH3,P009,WH3-Z3-A4-R4-S2,9,21.5
E00115,2024-02-17,WH2,P004,WH2-Z1-A1-R3-S3,7,47.7
E00115,2024-02-17,WH2,P019,WH2-Z2-A3-R3-S3,9,45.3
E00115,2024-02-17,WH2,P001,WH2-Z1-A2-R4-S1,1,45.5
E00115,2024-02-17,WH2,P009,WH2-Z2-A4-R3-S2,3,48.0
E00115,2024-02-17,WH2,P001,WH2-Z3-A2-R2-S2,1,47.2
E00116,2024-03-12,WH2,P010,WH2-Z3-A1-R5-S2,8,89.1
E00116,2024-03-12,WH2,P008,WH2-Z1-A4-R1-S2,6,78.3
E00116,2024-03-12,WH2,P004,WH2-Z1-A1-R3-S3,6,38.9
E00116,2024-03-12,WH2,P019,WH2-Z2-A3-R3-S1,10,47.0
