order_id,date,warehouse_id,customer_id,weight_units,priority,time_window_start,time_window_end
ORD-000112,2024-12-01,WH2,CUST-0076,125,standard,13:30,17:30
ORD-000113,2024-12-01,WH2,CUST-0084,136,urgent,13:00,15:00
ORD-000114,2024-12-01,WH2,CUST-0084,130,urgent,11:00,15:00
ORD-000115,2024-12-01,WH2,CUST-0128,121,standard,13:00,15:00
ORD-000116,2024-12-01,WH2,CUST-0089,87,urgent,09:30,11:30
ORD-000117,2024-12-01,WH2,CUST-0101,75,standard,08:00,10:00
ORD-000118,2024-12-01,WH2,CUST-0122,49,standard,09:00,13:00
ORD-000119,2024-12-01,WH2,CUST-0095,108,urgent,12:30,16:30
ORD-000120,2024-12-01,WH2,CUST-0093,58,standard,11:00,13:00
ORD-000121,2024-12-01,WH2,CUST-0107,88,standard,08:00,10:00
ORD-000122,2024-12-01,WH2,CUST-0119,94,standard,08:00,11:00
ORD-000123,2024-12-01,WH2,CUST-0115,101,standard,14:00,16:00
ORD-000124,2024-12-01,WH2,CUST-0124,96,standard,13:30,15:30
ORD-000125,2024-12-01,WH2,CUST-0134,119,standard,14:00,17:00
ORD-000126,2024-12-01,WH2,CUST-0125,30,standard,14:30,17:30
ORD-000127,2024-12-01,WH2,CUST-0083,100,standard,14:30,16:30
ORD-000128,2024-12-01,WH2,CUST-0099,21,standard,13:00,15:00
ORD-000129,2024-12-01,WH2,CUST-0096,107,standard,09:00,13:00
ORD-000130,2024-12-01,WH2,CUST-0076,113,standard,13:30,17:30
ORD-000131,2024-12-01,WH2,CUST-0111,28,standard,09:00,11:00
ORD-000132,2024-12-01,WH2,CUST-0070,112,standard,10:30,12:30
ORD-000133,2024-12-01,WH2,CUST-0097,69,standard,10:30,13:30
ORD-000134,2024-12-01,WH2,CUST-0096,18,standard,14:00,16:00
ORD-000135,2024-12-01,WH2,CUST-0068,47,standard,08:00,11:00
ORD-000136,2024-12-01,WH2,CUST-0077,80,urgent,09:30,12:30
ORD-000137,2024-12-01,WH2,CUST-0075,137,standard,09:30,12:30
ORD-000138,2024-12-01,WH3,CUST-0164,137,standard,09:30,13:30
ORD-000139,2024-12-01,WH3,CUST-0143,127,standard,11:00,14:00
ORD-000140,2024-12-01,WH3,CUST-0139,30,standard,12:30,14:30
ORD-000141,2024-12-01,WH3,CUST-0177,44,standard,14:00,17:00
ORD-000142,2024-12-01,WH3,CUST-0144,79,standard,14:30,16:30
ORD-000143,2024-12-01,WH3,CUST-0200,134,standard,10:00,13:00
ORD-000144,2024-12-01,WH3,CUST-0165,51,urgent,11:30,14:30
ORD-000145,2024-12-01,WH3,CUST-0170,93,standard,08:00,11:00
ORD-000146,2024-12-01,WH3,CUST-0197,136,standard,08:00,12:00
ORD-000147,2024-12-01,WH3,CUST-0162,53,standard,12:00,15:00
ORD-000148,2024-12-01,WH3,CUST-0151,76,standard,13:30,17:30
ORD-000149,2024-12-01,WH3,CUST-0195,86,standard,08:00,12:00
ORD-000150,2024-12-01,WH3,CUST-0166,129,standard,14:30,16:30
ORD-000151,2024-12-01,WH3,CUST-0195,71,standard,09:00,12:00
ORD-000152,2024-12-01,WH3,CUST-0187,134,standard,08:30,12:30
ORD-000153,2024-12-01,WH3,CUST-0159,101,standard,12:30,16:30
ORD-000154,2024-12-01,WH3,CUST-0147,127,urgent,10:30,13:30
ORD-000155,2024-12-01,WH3,CUST-0147,96,standard,09:00,12:00
ORD-000156,2024-12-01,WH3,CUST-0190,116,standard,10:30,14:30
ORD-000157,2024-12-01,WH3,CUST-0180,87,standard,12:00,14:00
ORD-000158,2024-12-01,WH3,CUST-0189,119,standard,12:30,16:30
ORD-000159,2024-12-01,WH3,CUST-0187,23,urgent,10:30,12:30
ORD-000160,2024-12-01,WH3,CUST-0194,23,standard,09:30,12:30
ORD-000161,2024-12-01,WH3,CUST-0141,73,standard,08:00,12:00
ORD-000162,2024-12-01,WH3,CUST-0147,86,standard,11:00,14:00
ORD-000163,2024-12-01,WH3,CUST-0142,51,standard,09:30,12:30
ORD-000164,2024-12-01,WH3,CUST-0186,91,standard,12:30,14:30
ORD-000165,2024-12-01,WH3,CUST-0178,107,standard,12:30,15:30
ORD-000166,2024-12-01,WH3,CUST-0148,54,standard,10:30,13:30
ORD-000167,2024-12-01,WH3,CUST-0166,102,standard,12:00,15:00
ORD-000168,2024-12-01,WH3,CUST-0159,73,urgent,11:00,15:00
ORD-000169,2024-12-01,WH3,CUST-0159,103,standard,12:00,14:00
ORD-000170,2024-12-01,WH3,CUST-0192,52,urgent,11:00,15:00
ORD-000171,2024-12-01,WH3,CUST-0152,72,standard,12:00,14:00
ORD-000172,2024-12-01,WH3,CUST-0189,24,standard,14:00,17:00
ORD-000173,2024-12-01,WH3,CUST-0158,45,urgent,12:30,16:30
ORD-000174,2024-12-01,WH3,CUST-0170,107,standard,09:30,11:30
ORD-000175,2024-12-01,WH3,CUST-0194,60,standard,09:30,11:30
ORD-000176,2024-12-01,WH3,CUST-0166,112,standard,08:00,12:00
ORD-000177,2024-12-01,WH3,CUST-0144,97,standard,12:00,15:00
ORD-000178,2024-12-01,WH3,CUST-0191,77,standard,09:00,12:00
ORD-000179,2024-12-01,WH3,CUST-0147,107,standard,14:30,16:30
ORD-000180,2024-12-01,WH3,CUST-0141,82,standard,11:30,14:30
ORD-000181,2024-12-01,WH3,CUST-0136,31,standard,08:30,11:30
ORD-000182,2024-12-01,WH3,CUST-0146,134,urgent,08:30,11:30
ORD-000183,2024-12-01,WH3,CUST-0165,43,standard,09:30,13:30
ORD-000184,2024-12-01,WH3,CUST-0156,90,urgent,10:00,12:00
ORD-000185,2024-12-01,WH3,CUST-0187,125,standard,10:00,13:00
ORD-000186,2024-12-01,WH3,CUST-0197,101,standard,10:00,13:00
ORD-000187,2024-12-01,WH3,CUST-0196,18,standard,13:30,15:30
ORD-000188,2024-12-01,WH3,CUST-0162,29,standard,12:00,16:00
ORD-000189,2024-12-01,WH3,CUST-0186,61,standard,12:00,15:00
ORD-000190,2024-12-02,WH1,CUST-0008,95,standard,10:00,14:00
ORD-000191,2024-12-02,WH1,CUST-0022,61,standard,11:00,13:00
ORD-000192,2024-12-02,WH1,CUST-0049,33,standard,10:30,13:30
ORD-000193,2024-12-02,WH1,CUST-0001,72,standard,10:00,12:00
ORD-000194,2024-12-02,WH1,CUST-0050,49,urgent,14:30,16:30
ORD-000195,2024-12-02,WH1,CUST-0034,29,standard,08:30,11:30
ORD-000196,2024-12-02,WH1,CUST-0059,103,standard,10:30,13:30
ORD-000197,2024-12-02,WH1,CUST-0037,41,standard,12:30,16:30
ORD-000198,2024-12-02,WH1,CUST-0055,107,urgent,11:00,15:00
ORD-000199,2024-12-02,WH1,CUST-0063,17,urgent,12:30,15:30
ORD-000200,2024-12-02,WH1,CUST-0020,92,standard,14:00,17:00
ORD-000201,2024-12-02,WH1,CUST-0025,52,standard,13:30,15:30
ORD-000202,2024-12-02,WH1,CUST-0038,132,standard,11:00,14:00
ORD-000203,2024-12-02,WH1,CUST-0028,78,standard,09:30,13:30
ORD-000204,2024-12-02,WH1,CUST-0008,78,standard,12:30,15:30
ORD-000205,2024-12-02,WH1,CUST-0008,46,standard,14:00,17:00
ORD-000206,2024-12-02,WH1,CUST-0041,55,urgent,08:00,11:00
ORD-000207,2024-12-02,WH1,CUST-0008,31,urgent,13:00,15:00
ORD-000208,2024-12-02,WH1,CUST-0007,94,standard,13:30,17:30
ORD-000209,2024-12-02,WH1,CUST-0062,88,standard,11:30,13:30
ORD-000210,2024-12-02,WH1,CUST-0065,16,standard,09:30,11:30
ORD-000211,2024-12-02,WH1,CUST-0021,47,standard,08:00,11:00
ORD-000212,2024-12-02,WH1,CUST-0008,80,standard,09:30,13:30
ORD-000213,2024-12-02,WH1,CUST-0066,128,standard,09:30,12:30
ORD-000214,2024-12-02,WH1,CUST-0011,118,standard,09:00,11:00
ORD-000215,2024-12-02,WH1,CUST-0024,23,standard,10:00,13:00
ORD-000216,2024-12-02,WH1,CUST-0009,128,standard,14:00,16:00
ORD-000217,2024-12-02,WH1,CUST-0009,98,standard,09:30,12:30
ORD-000218,2024-12-02,WH1,CUST-0031,89,standard,10:00,14:00
ORD-000219,2024-12-02,WH1,CUST-0052,36,standard,11:30,14:30
ORD-000220,2024-12-02,WH1,CUST-0016,74,standard,10:00,12:00
ORD-000221,2024-12-02,WH1,CUST-0032,26,standard,10:30,13:30
ORD-000222,2024-12-02,WH1,CUST-0006,129,standard,12:00,14:00
ORD-000223,2024-12-02,WH1,CUST-0011,22,standard,14:30,16:30
ORD-000224,2024-12-02,WH1,CUST-0054,58,standard,12:00,16:00
ORD-000225,2024-12-02,WH1,CUST-0067,51,standard,09:00,12:00
ORD-000226,2024-12-02,WH1,CUST-0041,42,urgent,08:00,12:00
ORD-000227,2024-12-02,WH1,CUST-0034,68,urgent,10:00,12:00
ORD-000228,2024-12-02,WH1,CUST-0027,108,standard,08:00,10:00
ORD-000229,2024-12-02,WH1,CUST-0041,18,standard,09:00,11:00
ORD-000230,2024-12-02,WH1,CUST-0031,63,standard,13:30,16:30
ORD-000231,2024-12-02,WH1,CUST-0034,131,standard,08:30,11:30
ORD-000232,2024-12-02,WH1,CUST-0051,48,standard,11:30,15:30
ORD-000233,2024-12-02,WH1,CUST-0017,129,standard,14:30,18:30
ORD-000234,2024-12-02,WH1,CUST-0039,123,standard,12:30,16:30
ORD-000235,2024-12-02,WH1,CUST-0059,113,standard,12:00,14:00
ORD-000236,2024-12-02,WH1,CUST-0041,101,standard,11:30,14:30
ORD-000237,2024-12-02,WH1,CUST-0010,133,standard,13:30,16:30
ORD-000238,2024-12-02,WH1,CUST-0002,76,urgent,13:00,15:00
ORD-000239,2024-12-02,WH1,CUST-0059,134,standard,12:00,15:00
ORD-000240,2024-12-02,WH1,CUST-0013,84,standard,11:30,15:30
ORD-000241,2024-12-02,WH1,CUST-0010,49,standard,08:00,11:00
ORD-000242,2024-12-02,WH1,CUST-0028,37,standard,14:00,16:00
ORD-000243,2024-12-02,WH1,CUST-0065,132,urgent,10:30,14:30
ORD-000244,2024-12-02,WH1,CUST-0034,90,standard,09:00,12:00
ORD-000245,2024-12-02,WH1,CUST-0017,90,standard,08:00,12:00
ORD-000246,2024-12-02,WH1,CUST-0045,121,standard,13:30,15:30
ORD-000247,2024-12-02,WH1,CUST-0009,63,standard,12:30,14:30
ORD-000248,2024-12-02,WH1,CUST-0032,93,standard,11:30,15:30
ORD-000249,2024-12-02,WH1,CUST-0048,92,urgent,10:00,13:00
ORD-000250,2024-12-02,WH1,CUST-0037,43,standard,14:00,17:00
ORD-000251,2024-12-02,WH2,CUST-0088,73,standard,13:00,15:00
ORD-000252,2024-12-02,WH2,CUST-0124,26,urgent,08:00,11:00
ORD-000253,2024-12-02,WH2,CUST-0106,57,urgent,12:30,16:30
ORD-000254,2024-12-02,WH2,CUST-0069,71,standard,08:30,10:30
ORD-000255,2024-12-02,WH2,CUST-0106,37,standard,14:00,17:00
ORD-000256,2024-12-02,WH2,CUST-0081,59,urgent,11:00,14:00
ORD-000257,2024-12-02,WH2,CUST-0085,22,standard,09:30,13:30
ORD-000258,2024-12-02,WH2,CUST-0101,110,standard,08:00,10:00
ORD-000259,2024-12-02,WH2,CUST-0082,48,standard,14:30,18:30
ORD-000260,2024-12-02,WH2,CUST-0081,88,urgent,14:30,18:30
ORD-000261,2024-12-02,WH2,CUST-0087,22,standard,09:00,12:00
ORD-000262,2024-12-02,WH2,CUST-0102,86,standard,08:30,12:30
ORD-000263,2024-12-02,WH2,CUST-0104,33,standard,11:00,13:00
ORD-000264,2024-12-02,WH2,CUST-0094,119,urgent,13:00,15:00
ORD-000265,2024-12-02,WH2,CUST-0111,78,urgent,11:30,14:30
ORD-000266,2024-12-02,WH2,CUST-0094,103,standard,08:00,10:00
ORD-000267,2024-12-02,WH2,CUST-0101,45,standard,08:00,10:00
ORD-000268,2024-12-02,WH2,CUST-0132,116,standard,11:30,13:30
ORD-000269,2024-12-02,WH2,CUST-0130,112,standard,13:00,16:00
ORD-000270,2024-12-02,WH2,CUST-0100,123,standard,08:00,12:00
ORD-000271,2024-12-02,WH2,CUST-0074,103,standard,13:30,17:30
ORD-000272,2024-12-02,WH2,CUST-0079,85,standard,08:30,11:30
ORD-000273,2024-12-02,WH2,CUST-0122,103,standard,10:30,12:30
ORD-000274,2024-12-02,WH2,CUST-0103,104,standard,08:00,11:00
ORD-000275,2024-12-02,WH2,CUST-0073,80,standard,13:30,16:30
ORD-000276,2024-12-02,WH2,CUST-0068,86,standard,10:00,13:00
ORD-000277,2024-12-02,WH2,CUST-0110,107,standard,13:30,15:30
ORD-000278,2024-12-02,WH2,CUST-0084,62,standard,11:00,14:00
ORD-000279,2024-12-02,WH2,CUST-0101,57,standard,11:30,15:30
ORD-000280,2024-12-02,WH2,CUST-0088,122,standard,13:30,16:30
ORD-000281,2024-12-02,WH2,CUST-0124,121,urgent,12:00,16:00
ORD-000282,2024-12-02,WH2,CUST-0122,39,standard,14:00,18:00
ORD-000283,2024-12-02,WH2,CUST-0069,27,standard,10:00,12:00
ORD-000284,2024-12-02,WH2,CUST-0082,82,standard,09:30,11:30
ORD-000285,2024-12-02,WH2,CUST-0077,43,standard,11:30,15:30
ORD-000286,2024-12-02,WH2,CUST-0087,50,standard,10:30,13:30
ORD-000287,2024-12-02,WH2,CUST-0072,18,standard,09:00,11:00
ORD-000288,2024-12-02,WH2,CUST-0115,109,standard,13:00,17:00
ORD-000289,2024-12-02,WH2,CUST-0086,85,standard,14:00,18:00
ORD-000290,2024-12-02,WH2,CUST-0123,56,standard,08:30,10:30
ORD-000291,2024-12-02,WH2,CUST-0084,21,standard,11:30,14:30
ORD-000292,2024-12-02,WH2,CUST-0073,120,urgent,11:30,13:30
ORD-000293,2024-12-02,WH2,CUST-0107,132,standard,12:00,15:00
ORD-000294,2024-12-02,WH2,CUST-0114,23,standard,11:00,14:00
ORD-000295,2024-12-02,WH2,CUST-0073,56,standard,09:00,11:00
ORD-000296,2024-12-02,WH2,CUST-0113,51,standard,08:30,12:30
ORD-000297,2024-12-02,WH2,CUST-0094,88,standard,10:30,14:30
ORD-000298,2024-12-02,WH2,CUST-0099,111,standard,10:30,13:30
ORD-000299,2024-12-02,WH2,CUST-0081,113,standard,12:00,14:00
ORD-000300,2024-12-02,WH2,CUST-0113,95,urgent,08:00,10:00
ORD-000301,2024-12-02,WH2,CUST-0120,106,standard,12:00,16:00
ORD-000302,2024-12-02,WH2,CUST-0087,92,standard,10:30,12:30
ORD-000303,2024-12-02,WH2,CUST-0098,16,standard,08:30,10:30
ORD-000304,2024-12-02,WH2,CUST-0088,81,standard,14:00,17:00
ORD-000305,2024-12-02,WH2,CUST-0090,127,urgent,12:00,14:00
ORD-000306,2024-12-02,WH2,CUST-0120,82,standard,11:30,15:30
ORD-000307,2024-12-02,WH2,CUST-0071,123,urgent,09:30,13:30
ORD-000308,2024-12-02,WH2,CUST-0090,87,standard,12:00,16:00
ORD-000309,2024-12-02,WH2,CUST-0110,117,urgent,10:30,12:30
ORD-000310,2024-12-02,WH2,CUST-0120,74,standard,08:30,11:30
ORD-000311,2024-12-02,WH2,CUST-0099,22,standard,10:30,12:30
ORD-000312,2024-12-02,WH2,CUST-0102,58,standard,09:00,12:00
ORD-000313,2024-12-02,WH2,CUST-0088,16,standard,10:30,13:30
ORD-000314,2024-12-02,WH2,CUST-0081,49,standard,09:30,11:30
ORD-000315,2024-12-02,WH2,CUST-0116,58,urgent,13:30,16:30
ORD-000316,2024-12-02,WH2,CUST-0072,45,standard,12:00,14:00
ORD-000317,2024-12-02,WH2,CUST-0128,76,standard,14:30,17:30
ORD-000318,2024-12-02,WH2,CUST-0096,30,standard,14:30,16:30
ORD-000319,2024-12-02,WH2,CUST-0093,123,urgent,11:00,14:00
ORD-000320,2024-12-02,WH2,CUST-0126,19,standard,10:30,13:30
ORD-000321,2024-12-02,WH2,CUST-0112,44,standard,11:00,13:00
ORD-000322,2024-12-02,WH2,CUST-0107,86,standard,13:30,16:30
ORD-000323,2024-12-02,WH2,CUST-0097,130,standard,08:00,11:00
ORD-000324,2024-12-02,WH2,CUST-0096,37,standard,13:30,15:30
ORD-000325,2024-12-02,WH3,CUST-0138,105,standard,08:00,11:00
ORD-000326,2024-12-02,WH3,CUST-0159,66,standard,08:00,12:00
ORD-000327,2024-12-02,WH3,CUST-0186,69,urgent,09:30,12:30
ORD-000328,2024-12-02,WH3,CUST-0177,100,standard,13:00,17:00
ORD-000329,2024-12-02,WH3,CUST-0170,63,urgent,11:30,15:30
ORD-000330,2024-12-02,WH3,CUST-0143,44,standard,09:00,13:00
ORD-000331,2024-12-02,WH3,CUST-0170,81,standard,13:30,16:30
ORD-000332,2024-12-02,WH3,CUST-0179,29,standard,11:30,13:30
ORD-000333,2024-12-02,WH3,CUST-0200,49,standard,09:00,12:00
ORD-000334,2024-12-02,WH3,CUST-0186,39,standard,11:30,14:30
ORD-000335,2024-12-02,WH3,CUST-0177,50,standard,12:30,14:30
ORD-000336,2024-12-02,WH3,CUST-0138,124,urgent,08:30,11:30
ORD-000337,2024-12-02,WH3,CUST-0149,20,urgent,10:00,12:00
ORD-000338,2024-12-02,WH3,CUST-0168,112,standard,12:30,14:30
ORD-000339,2024-12-02,WH3,CUST-0157,74,standard,14:30,16:30
ORD-000340,2024-12-02,WH3,CUST-0168,92,standard,11:00,15:00
ORD-000341,2024-12-02,WH3,CUST-0139,20,urgent,12:30,16:30
ORD-000342,2024-12-02,WH3,CUST-0148,74,standard,10:30,13:30
ORD-000343,2024-12-02,WH3,CUST-0190,97,urgent,14:00,16:00
ORD-000344,2024-12-02,WH3,CUST-0179,25,standard,08:30,11:30
ORD-000345,2024-12-02,WH3,CUST-0175,87,standard,14:30,18:30
ORD-000346,2024-12-02,WH3,CUST-0190,87,standard,08:00,10:00
ORD-000347,2024-12-02,WH3,CUST-0200,94,standard,13:00,17:00
ORD-000348,2024-12-02,WH3,CUST-0149,54,standard,08:30,12:30
ORD-000349,2024-12-02,WH3,CUST-0184,66,standard,14:30,16:30
ORD-000350,2024-12-02,WH3,CUST-0159,77,standard,13:00,16:00
ORD-000351,2024-12-02,WH3,CUST-0167,113,standard,14:30,16:30
ORD-000352,2024-12-02,WH3,CUST-0140,85,standard,11:30,14:30
ORD-000353,2024-12-02,WH3,CUST-0190,69,standard,13:00,16:00
ORD-000354,2024-12-02,WH3,CUST-0135,116,standard,10:00,13:00
ORD-000355,2024-12-02,WH3,CUST-0160,134,standard,09:00,12:00
ORD-000356,2024-12-02,WH3,CUST-0181,104,standard,08:00,10:00
ORD-000357,2024-12-02,WH3,CUST-0190,115,standard,12:00,15:00
ORD-000358,2024-12-02,WH3,CUST-0143,127,standard,11:00,15:00
ORD-000359,2024-12-02,WH3,CUST-0177,131,standard,14:00,18:00
ORD-000360,2024-12-02,WH3,CUST-0175,118,standard,11:30,14:30
ORD-000361,2024-12-02,WH3,CUST-0150,52,standard,12:30,14:30
ORD-000362,2024-12-02,WH3,CUST-0173,119,urgent,09:00,11:00
ORD-000363,2024-12-02,WH3,CUST-0199,16,standard,08:00,10:00
ORD-000364,2024-12-02,WH3,CUST-0174,128,urgent,12:00,15:00
