trip_id,date,vehicle_id,driver_id,warehouse_id,num_stops,total_distance_km,weather_condition,traffic_level,planned_duration_min,actual_duration_min
TRIP-00027,2024-11-22,TRK-007,DRV-012,WH2,21,248.1,clear,low,460,450
TRIP-00028,2024-07-31,TRK-003,DRV-007,WH1,11,131.0,rain,low,242,304
TRIP-00029,2024-08-08,TRK-004,DRV-004,WH1,23,245.2,clear,low,474,455
TRIP-00030,2024-10-11,TRK-012,DRV-025,WH3,5,66.4,clear,medium,117,151
TRIP-00031,2024-07-08,TRK-009,DRV-017,WH2,23,270.9,clear,low,503,452
TRIP-00032,2024-08-03,TRK-011,DRV-024,WH3,5,35.6,clear,medium,84,113
TRIP-00033,2024-11-29,TRK-014,DRV-020,WH3,11,92.7,clear,low,200,212
TRIP-00034,2024-12-18,TRK-012,DRV-025,WH3,25,254.5,clear,high,503,785
TRIP-00035,2024-12-30,TRK-011,DRV-021,WH3,15,136.3,rain,low,284,325
TRIP-00036,2024-07-28,TRK-011,DRV-022,WH3,5,26.6,clear,low,74,76
TRIP-00037,2024-08-02,TRK-011,DRV-019,WH3,25,305.5,clear,medium,558,710
TRIP-00038,2024-10-21,TRK-001,DRV-004,WH1,25,218.0,clear,high,463,821
TRIP-00039,2024-08-03,TRK-014,DRV-023,WH3,12,156.4,snow,medium,279,491
TRIP-00040,2024-07-15,TRK-003,DRV-004,WH1,11,148.2,clear,low,261,258
TRIP-00041,2024-10-18,TRK-003,DRV-003,WH1,22,295.4,clear,low,520,517
TRIP-00042,2024-11-29,TRK-004,DRV-004,WH1,20,227.0,clear,low,428,453
TRIP-00043,2024-08-13,TRK-015,DRV-024,WH3,6,57.4,clear,medium,117,150
TRIP-00044,2024-07-26,TRK-001,DRV-003,WH1,16,163.6,rain,medium,322,445
TRIP-00045,2024-12-28,TRK-009,DRV-017,WH2,24,169.7,clear,low,401,438
TRIP-00046,2024-10-17,TRK-010,DRV-017,WH2,23,306.3,clear,low,541,545
TRIP-00047,2024-11-08,TRK-011,DRV-020,WH3,17,133.8,clear,low,299,313
TRIP-00048,2024-07-05,TRK-008,DRV-016,WH2,9,70.7,clear,low,158,155
TRIP-00049,2024-11-19,TRK-011,DRV-023,WH3,21,249.2,clear,medium,461,623
TRIP-00050,2024-07-17,TRK-012,DRV-022,WH3,9,129.3,clear,medium,222,285
TRIP-00051,2024-08-18,TRK-014,DRV-025,WH3,17,214.1,clear,high,387,605
TRIP-00052,2024-08-26,TRK-003,DRV-005,WH1,13,75.0,clear,low,199,203
TRIP-00053,2024-07-17,TRK-006,DRV-011,WH2,18,196.0,fog,low,376,513
TRIP-00054,2024-08-02,TRK-004,DRV-009,WH1,21,210.6,clear,low,419,384
TRIP-00055,2024-10-19,TRK-010,DRV-015,WH2,24,258.6,clear,medium,498,623
TRIP-00056,2024-09-25,TRK-007,DRV-011,WH2,14,83.5,clear,low,217,223
TRIP-00057,2024-08-29,TRK-007,DRV-016,WH2,14,158.1,clear,medium,298,345
TRIP-00058,2024-08-28,TRK-004,DRV-003,WH1,6,60.6,fog,medium,120,177
TRIP-00059,2024-10-29,TRK-008,DRV-012,WH2,8,103.2,rain,medium,185,247
TRIP-00060,2024-08-05,TRK-007,DRV-015,WH2,13,96.3,clear,medium,222,273
TRIP-00061,2024-10-31,TRK-007,DRV-011,WH2,12,119.8,clear,low,239,246
TRIP-00062,2024-12-05,TRK-007,DRV-014,WH2,18,214.9,clear,medium,396,465
TRIP-00063,2024-07-26,TRK-012,DRV-021,WH3,19,124.4,clear,medium,307,409
TRIP-00064,2024-10-30,TRK-005,DRV-008,WH1,25,264.8,clear,medium,514,603
TRIP-00065,2024-09-25,TRK-012,DRV-021,WH3,5,51.3,clear,low,101,98
TRIP-00066,2024-10-18,TRK-012,DRV-018,WH3,15,210.6,snow,low,365,499
TRIP-00067,2024-10-20,TRK-010,DRV-010,WH2,17,142.9,clear,medium,309,394
TRIP-00068,2024-11-07,TRK-011,DRV-025,WH3,25,152.5,clear,medium,391,534
TRIP-00069,2024-08-06,TRK-004,DRV-004,WH1,15,166.9,clear,low,317,342
TRIP-00070,2024-12-22,TRK-001,DRV-008,WH1,9,101.7,clear,medium,192,246
TRIP-00071,2024-10-28,TRK-015,DRV-018,WH3,11,100.1,clear,low,208,200
TRIP-00072,2024-10-06,TRK-014,DRV-020,WH3,13,150.5,rain,medium,281,407
TRIP-00073,2024-12-27,TRK-001,DRV-007,WH1,8,92.2,clear,low,173,169
TRIP-00074,2024-12-26,TRK-008,DRV-013,WH2,6,49.5,clear,high,108,172
TRIP-00075,2024-07-17,TRK-011,DRV-023,WH3,23,308.0,clear,low,543,527
TRIP-00076,2024-10-05,TRK-011,DRV-023,WH3,11,104.0,clear,medium,212,262
TRIP-00077,2024-08-08,TRK-005,DRV-004,WH1,22,173.4,snow,low,387,532
TRIP-00078,2024-08-30,TRK-004,DRV-004,WH1,14,97.1,clear,high,232,355
TRIP-00079,2024-07-17,TRK-014,DRV-022,WH3,14,141.5,clear,low,280,300
TRIP-00080,2024-11-01,TRK-010,DRV-011,WH2,7,89.8,rain,medium,161,250
TRIP-00081,2024-12-09,TRK-013,DRV-025,WH3,18,159.2,clear,medium,336,419
TRIP-00082,2024-10-29,TRK-011,DRV-021,WH3,7,90.5,clear,low,162,170
TRIP-00083,2024-07-31,TRK-003,DRV-002,WH1,19,188.0,clear,low,376,431
TRIP-00084,2024-08-25,TRK-004,DRV-003,WH1,15,170.4,clear,medium,321,369
TRIP-00085,2024-11-02,TRK-009,DRV-012,WH2,23,208.2,clear,low,434,439
TRIP-00086,2024-08-21,TRK-011,DRV-022,WH3,16,173.4,clear,high,333,533
TRIP-00087,2024-10-17,TRK-005,DRV-006,WH1,10,77.7,clear,medium,175,218
TRIP-00088,2024-10-29,TRK-009,DRV-017,WH2,7,75.1,clear,low,145,160
TRIP-00089,2024-08-31,TRK-007,DRV-014,WH2,17,173.3,clear,high,342,570
TRIP-00090,2024-09-14,TRK-002,DRV-006,WH1,10,126.6,clear,low,228,218
TRIP-00091,2024-08-19,TRK-005,DRV-005,WH1,23,223.2,snow,high,450,1012
TRIP-00092,2024-09-02,TRK-012,DRV-020,WH3,10,102.6,clear,high,202,307
TRIP-00093,2024-09-08,TRK-012,DRV-025,WH3,8,91.3,clear,low,172,167
TRIP-00094,2024-09-30,TRK-011,DRV-023,WH3,10,76.7,clear,low,174,167
TRIP-00095,2024-08-04,TRK-005,DRV-005,WH1,6,78.1,fog,low,139,165
TRIP-00096,2024-09-23,TRK-007,DRV-017,WH2,19,171.9,clear,high,359,615
TRIP-00097,2024-12-16,TRK-015,DRV-023,WH3,12,129.4,rain,medium,249,333
TRIP-00098,2024-11-25,TRK-010,DRV-012,WH2,17,112.0,rain,high,275,497
TRIP-00099,2024-07-14,TRK-006,DRV-017,WH2,16,157.7,clear,medium,316,414
TRIP-00100,2024-12-09,TRK-006,DRV-016,WH2,7,68.1,fog,low,137,156
TRIP-00101,2024-12-06,TRK-003,DRV-001,WH1,12,159.9,rain,medium,282,376
TRIP-00102,2024-07-09,TRK-003,DRV-004,WH1,15,182.7,clear,high,334,565
TRIP-00103,2024-08-22,TRK-011,DRV-024,WH3,9,104.1,clear,medium,195,230
TRIP-00104,2024-10-13,TRK-011,DRV-023,WH3,21,132.6,clear,high,334,529
TRIP-00105,2024-07-07,TRK-009,DRV-015,WH2,9,97.5,clear,low,187,180
TRIP-00106,2024-08-28,TRK-010,DRV-011,WH2,15,137.7,rain,low,285,300
TRIP-00107,2024-08-14,TRK-009,DRV-014,WH2,6,32.4,rain,high,89,161
TRIP-00108,2024-12-01,TRK-009,DRV-012,WH2,8,85.8,clear,low,166,181
TRIP-00109,2024-07-20,TRK-009,DRV-015,WH2,20,256.5,snow,medium,460,887
TRIP-00110,2024-10-16,TRK-006,DRV-010,WH2,18,106.4,rain,low,278,345
TRIP-00111,2024-11-26,TRK-005,DRV-008,WH1,22,238.7,rain,low,458,506
TRIP-00112,2024-11-22,TRK-004,DRV-005,WH1,20,264.8,clear,medium,469,569
TRIP-00113,2024-11-07,TRK-010,DRV-014,WH2,16,128.6,clear,medium,284,355
TRIP-00114,2024-09-09,TRK-001,DRV-003,WH1,25,168.0,clear,medium,408,500
TRIP-00115,2024-12-18,TRK-014,DRV-019,WH3,19,205.2,rain,low,395,420
TRIP-00116,2024-07-11,TRK-004,DRV-004,WH1,24,280.6,clear,low,522,485
TRIP-00117,2024-11-29,TRK-005,DRV-006,WH1,16,131.9,clear,low,288,300
TRIP-00118,2024-10-07,TRK-009,DRV-011,WH2,20,137.2,clear,medium,330,400
TRIP-00119,2024-08-10,TRK-007,DRV-010,WH2,17,241.6,clear,high,417,704
TRIP-00120,2024-07-17,TRK-003,DRV-003,WH1,18,185.6,clear,low,364,342
TRIP-00121,2024-09-16,TRK-006,DRV-014,WH2,11,126.7,clear,high,237,386
TRIP-00122,2024-07-28,TRK-012,DRV-020,WH3,25,232.4,clear,low,479,459
TRIP-00123,2024-09-11,TRK-008,DRV-014,WH2,8,90.2,rain,medium,170,258
TRIP-00124,2024-08-09,TRK-005,DRV-006,WH1,11,79.8,clear,medium,186,215
TRIP-00125,2024-09-29,TRK-009,DRV-016,WH2,19,134.6,fog,low,318,331
TRIP-00126,2024-08-29,TRK-002,DRV-009,WH1,14,89.7,rain,medium,224,316
TRIP-00127,2024-10-18,TRK-015,DRV-019,WH3,19,208.2,clear,low,398,398
TRIP-00128,2024-10-01,TRK-001,DRV-008,WH1,9,95.4,clear,low,185,188
TRIP-00129,2024-08-17,TRK-010,DRV-015,WH2,18,226.1,rain,low,409,460
TRIP-00130,2024-12-28,TRK-002,DRV-003,WH1,25,204.0,clear,low,448,435
TRIP-00131,2024-07-24,TRK-002,DRV-003,WH1,12,124.1,clear,medium,243,315
TRIP-00132,2024-11-04,TRK-001,DRV-001,WH1,16,169.9,rain,low,329,384
TRIP-00133,2024-12-02,TRK-001,DRV-009,WH1,15,139.3,clear,low,287,262
TRIP-00134,2024-09-19,TRK-006,DRV-011,WH2,11,121.0,rain,medium,231,324
TRIP-00135,2024-12-01,TRK-005,DRV-004,WH1,17,162.8,fog,low,331,357
TRIP-00136,2024-08-10,TRK-006,DRV-011,WH2,25,299.2,fog,high,551,1108
TRIP-00137,2024-08-14,TRK-013,DRV-023,WH3,8,50.3,fog,medium,127,197
TRIP-00138,2024-07-29,TRK-012,DRV-019,WH3,5,34.2,rain,medium,82,127
TRIP-00139,2024-09-14,TRK-012,DRV-021,WH3,18,146.5,clear,medium,322,370
TRIP-00140,2024-11-10,TRK-001,DRV-004,WH1,9,122.1,fog,medium,214,356
TRIP-00141,2024-10-24,TRK-015,DRV-020,WH3,16,124.1,rain,low,279,333
TRIP-00142,2024-08-27,TRK-009,DRV-016,WH2,22,304.7,clear,low,530,590
TRIP-00143,2024-08-01,TRK-006,DRV-017,WH2,19,199.2,clear,medium,388,457
TRIP-00144,2024-07-25,TRK-008,DRV-010,WH2,19,196.8,clear,low,386,413
TRIP-00145,2024-12-26,TRK-009,DRV-014,WH2,22,175.6,snow,low,390,542
TRIP-00146,2024-10-21,TRK-014,DRV-022,WH3,22,243.9,clear,low,464,457
TRIP-00147,2024-07-07,TRK-008,DRV-012,WH2,15,150.4,snow,medium,299,550
TRIP-00148,2024-11-14,TRK-004,DRV-008,WH1,8,102.8,rain,low,184,220
TRIP-00149,2024-12-28,TRK-004,DRV-007,WH1,21,262.9,clear,low,476,470
TRIP-00150,2024-08-23,TRK-001,DRV-006,WH1,16,192.8,clear,medium,354,452
TRIP-00151,2024-10-20,TRK-006,DRV-013,WH2,9,84.5,rain,low,173,203
TRIP-00152,2024-12-15,TRK-015,DRV-022,WH3,15,195.6,snow,low,348,548
TRIP-00153,2024-11-05,TRK-015,DRV-024,WH3,18,258.5,clear,low,444,461
TRIP-00154,2024-09-06,TRK-006,DRV-011,WH2,19,217.7,clear,low,408,422
TRIP-00155,2024-07-17,TRK-001,DRV-002,WH1,23,276.9,rain,medium,509,656
TRIP-00156,2024-12-05,TRK-002,DRV-007,WH1,9,119.4,rain,low,211,247
TRIP-00157,2024-07-23,TRK-015,DRV-019,WH3,7,95.1,rain,medium,167,262
TRIP-00158,2024-09-17,TRK-009,DRV-013,WH2,25,315.8,rain,medium,570,839
TRIP-00159,2024-11-19,TRK-010,DRV-015,WH2,9,84.8,clear,high,174,307
TRIP-00160,2024-10-10,TRK-004,DRV-002,WH1,10,122.0,clear,high,223,366
TRIP-00161,2024-07-12,TRK-009,DRV-010,WH2,10,125.5,clear,medium,227,262
TRIP-00162,2024-10-22,TRK-007,DRV-017,WH2,20,191.0,clear,medium,388,450
TRIP-00163,2024-12-19,TRK-006,DRV-017,WH2,14,130.4,clear,medium,268,320
TRIP-00164,2024-11-10,TRK-009,DRV-012,WH2,6,60.1,clear,low,120,125
TRIP-00165,2024-09-14,TRK-014,DRV-023,WH3,6,68.8,clear,low,129,134
TRIP-00166,2024-10-01,TRK-002,DRV-006,WH1,8,87.7,rain,medium,168,247
TRIP-00167,2024-07-28,TRK-013,DRV-024,WH3,11,140.7,clear,high,252,416
TRIP-00168,2024-12-20,TRK-008,DRV-010,WH2,16,175.8,clear,low,336,350
TRIP-00169,2024-12-27,TRK-010,DRV-011,WH2,11,147.9,clear,low,260,263
TRIP-00170,2024-11-18,TRK-007,DRV-010,WH2,25,342.5,clear,medium,599,843
TRIP-00171,2024-09-10,TRK-010,DRV-016,WH2,13,147.1,clear,medium,277,356
TRIP-00172,2024-11-27,TRK-003,DRV-007,WH1,19,246.1,clear,medium,439,526
TRIP-00173,2024-09-28,TRK-006,DRV-013,WH2,5,30.0,clear,medium,78,96
TRIP-00174,2024-12-08,TRK-013,DRV-020,WH3,8,48.7,clear,high,125,197
TRIP-00175,2024-11-18,TRK-004,DRV-002,WH1,8,98.6,clear,low,180,179
TRIP-00176,2024-08-30,TRK-010,DRV-016,WH2,19,154.5,rain,high,340,684
TRIP-00177,2024-12-02,TRK-015,DRV-019,WH3,20,198.7,clear,low,397,383
TRIP-00178,2024-08-26,TRK-014,DRV-024,WH3,15,190.4,clear,low,343,344
TRIP-00179,2024-10-22,TRK-010,DRV-014,WH2,21,236.2,rain,low,447,533
TRIP-00180,2024-12-10,TRK-009,DRV-014,WH2,19,256.0,clear,medium,450,606
TRIP-00181,2024-12-11,TRK-012,DRV-018,WH3,19,234.7,rain,high,427,809
TRIP-00182,2024-12-20,TRK-014,DRV-021,WH3,11,123.2,snow,medium,233,426
TRIP-00183,2024-11-25,TRK-008,DRV-016,WH2,21,220.8,rain,low,430,509
TRIP-00184,2024-08-10,TRK-003,DRV-008,WH1,12,108.2,clear,medium,226,293
TRIP-00185,2024-09-23,TRK-009,DRV-016,WH2,11,131.5,fog,high,242,448
TRIP-00186,2024-09-10,TRK-012,DRV-024,WH3,15,101.8,rain,medium,246,343
TRIP-00187,2024-10-15,TRK-010,DRV-013,WH2,18,182.0,clear,low,361,336
TRIP-00188,2024-10-30,TRK-002,DRV-005,WH1,9,62.2,clear,high,149,216
TRIP-00189,2024-08-13,TRK-006,DRV-013,WH2,15,102.3,clear,low,247,231
TRIP-00190,2024-12-15,TRK-010,DRV-012,WH2,7,39.1,fog,high,106,209
TRIP-00191,2024-07-25,TRK-006,DRV-010,WH2,21,179.3,clear,low,385,383
TRIP-00192,2024-12-22,TRK-004,DRV-006,WH1,21,146.6,rain,low,349,347
TRIP-00193,2024-08-01,TRK-012,DRV-021,WH3,20,233.7,clear,medium,435,588
TRIP-00194,2024-09-06,TRK-005,DRV-009,WH1,21,234.5,clear,low,445,445
TRIP-00195,2024-09-26,TRK-011,DRV-023,WH3,21,219.0,rain,medium,428,658
TRIP-00196,2024-08-28,TRK-012,DRV-024,WH3,11,96.6,clear,low,204,184
TRIP-00197,2024-09-07,TRK-009,DRV-016,WH2,6,47.8,fog,low,106,134
TRIP-00198,2024-09-23,TRK-013,DRV-019,WH3,22,284.3,clear,medium,508,610
TRIP-00199,2024-10-04,TRK-003,DRV-003,WH1,16,207.3,clear,low,370,367
TRIP-00200,2024-12-20,TRK-006,DRV-010,WH2,11,133.5,rain,low,245,276
TRIP-00201,2024-11-22,TRK-012,DRV-022,WH3,6,52.3,clear,medium,111,134
TRIP-00202,2024-11-17,TRK-013,DRV-019,WH3,7,80.9,fog,high,151,306
TRIP-00203,2024-09-07,TRK-006,DRV-016,WH2,23,268.8,clear,high,500,820
TRIP-00204,2024-08-14,TRK-003,DRV-004,WH1,21,156.0,fog,medium,359,594
TRIP-00205,2024-09-12,TRK-014,DRV-018,WH3,18,219.9,fog,medium,402,616
TRIP-00206,2024-09-27,TRK-009,DRV-016,WH2,22,194.1,rain,high,410,763
TRIP-00207,2024-11-10,TRK-002,DRV-005,WH1,11,129.4,clear,low,240,260
TRIP-00208,2024-10-28,TRK-015,DRV-023,WH3,6,56.3,rain,medium,115,170
TRIP-00209,2024-12-15,TRK-012,DRV-025,WH3,17,134.4,clear,low,300,276
TRIP-00210,2024-11-28,TRK-013,DRV-023,WH3,12,100.1,clear,low,217,216
TRIP-00211,2024-09-23,TRK-012,DRV-024,WH3,8,77.2,clear,high,156,215
TRIP-00212,2024-12-26,TRK-003,DRV-003,WH1,8,71.6,clear,low,150,152
TRIP-00213,2024-10-18,TRK-007,DRV-011,WH2,9,128.8,clear,low,222,264
TRIP-00214,2024-07-09,TRK-010,DRV-013,WH2,7,85.1,snow,high,156,335
TRIP-00215,2024-07-26,TRK-015,DRV-021,WH3,18,235.8,snow,low,419,577
TRIP-00216,2024-10-14,TRK-012,DRV-018,WH3,8,97.9,clear,medium,179,234
TRIP-00217,2024-08-16,TRK-001,DRV-006,WH1,17,232.7,snow,low,407,563
TRIP-00218,2024-10-28,TRK-015,DRV-024,WH3,11,137.6,rain,medium,249,345
TRIP-00219,2024-09-10,TRK-002,DRV-004,WH1,20,268.4,clear,medium,473,548
TRIP-00220,2024-12-04,TRK-004,DRV-004,WH1,8,82.4,clear,medium,162,222
TRIP-00221,2024-08-19,TRK-012,DRV-024,WH3,12,157.7,clear,low,280,299
TRIP-00222,2024-12-09,TRK-008,DRV-013,WH2,5,29.2,clear,low,77,74
TRIP-00223,2024-07-06,TRK-014,DRV-019,WH3,16,177.1,clear,high,337,510
TRIP-00224,2024-10-10,TRK-014,DRV-021,WH3,23,251.6,rain,medium,481,744
TRIP-00225,2024-11-23,TRK-006,DRV-011,WH2,14,121.8,clear,low,259,234
TRIP-00226,2024-12-06,TRK-004,DRV-006,WH1,13,150.1,snow,high,281,577
TRIP-00227,2024-09-06,TRK-011,DRV-018,WH3,15,93.0,clear,low,236,256
TRIP-00228,2024-11-24,TRK-008,DRV-012,WH2,6,34.8,clear,low,92,93
TRIP-00229,2024-09-28,TRK-005,DRV-008,WH1,15,124.7,fog,low,271,315
TRIP-00230,2024-08-09,TRK-010,DRV-016,WH2,24,251.3,clear,low,490,463
TRIP-00231,2024-10-04,TRK-004,DRV-005,WH1,12,101.9,fog,low,219,254
TRIP-00232,2024-11-13,TRK-010,DRV-014,WH2,9,124.8,clear,high,217,313
TRIP-00233,2024-11-23,TRK-009,DRV-012,WH2,7,100.4,fog,medium,173,240
TRIP-00234,2024-08-11,TRK-006,DRV-013,WH2,10,80.6,clear,low,178,166
TRIP-00235,2024-10-31,TRK-008,DRV-012,WH2,18,162.3,clear,high,339,519
TRIP-00236,2024-10-03,TRK-006,DRV-017,WH2,5,71.4,snow,medium,123,213
TRIP-00237,2024-08-10,TRK-009,DRV-011,WH2,11,68.6,clear,low,174,161
TRIP-00238,2024-11-11,TRK-007,DRV-012,WH2,8,96.9,rain,medium,178,262
TRIP-00239,2024-11-30,TRK-015,DRV-021,WH3,19,174.6,snow,low,361,541
TRIP-00240,2024-07-23,TRK-012,DRV-024,WH3,25,257.9,clear,medium,506,666
TRIP-00241,2024-09-14,TRK-003,DRV-001,WH1,25,265.0,rain,medium,514,711
TRIP-00242,2024-09-24,TRK-008,DRV-011,WH2,20,201.7,clear,low,400,372
TRIP-00243,2024-12-11,TRK-014,DRV-025,WH3,11,86.3,snow,medium,193,345
TRIP-00244,2024-12-18,TRK-003,DRV-001,WH1,7,35.8,rain,medium,102,153
TRIP-00245,2024-08-27,TRK-015,DRV-020,WH3,17,103.4,fog,medium,266,396
TRIP-00246,2024-07-22,TRK-008,DRV-010,WH2,15,153.8,clear,medium,303,345
TRIP-00247,2024-08-18,TRK-004,DRV-005,WH1,8,83.4,clear,medium,163,227
TRIP-00248,2024-08-26,TRK-006,DRV-010,WH2,23,272.5,clear,medium,504,629
TRIP-00249,2024-09-18,TRK-007,DRV-011,WH2,19,213.9,clear,low,404,402
TRIP-00250,2024-10-03,TRK-010,DRV-012,WH2,23,300.0,rain,high,534,1058
TRIP-00251,2024-10-26,TRK-012,DRV-025,WH3,14,198.4,fog,medium,342,543
TRIP-00252,2024-07-27,TRK-015,DRV-024,WH3,22,216.5,rain,medium,434,591
TRIP-00253,2024-12-12,TRK-012,DRV-024,WH3,18,143.0,clear,low,318,315
TRIP-00254,2024-12-16,TRK-009,DRV-013,WH2,12,84.1,rain,low,200,226
TRIP-00255,2024-09-16,TRK-010,DRV-011,WH2,20,265.7,clear,low,470,493
TRIP-00256,2024-08-05,TRK-008,DRV-012,WH2,12,159.1,rain,low,282,340
TRIP-00257,2024-09-17,TRK-005,DRV-007,WH1,13,135.2,clear,medium,264,363
TRIP-00258,2024-11-11,TRK-005,DRV-002,WH1,20,199.4,clear,low,398,385
TRIP-00259,2024-10-02,TRK-015,DRV-022,WH3,16,169.1,clear,low,328,324
TRIP-00260,2024-12-20,TRK-011,DRV-019,WH3,8,52.0,clear,medium,129,169
TRIP-00261,2024-10-18,TRK-006,DRV-011,WH2,23,144.8,fog,low,365,482
TRIP-00262,2024-12-10,TRK-014,DRV-025,WH3,21,213.5,rain,low,422,464
TRIP-00263,2024-07-24,TRK-002,DRV-003,WH1,9,116.2,rain,medium,208,301
TRIP-00264,2024-11-17,TRK-011,DRV-024,WH3,15,153.2,clear,low,302,330
TRIP-00265,2024-10-29,TRK-002,DRV-008,WH1,15,114.9,rain,high,260,510
TRIP-00266,2024-09-19,TRK-015,DRV-025,WH3,11,129.9,clear,high,241,416
TRIP-00267,2024-07-26,TRK-009,DRV-014,WH2,15,149.4,clear,low,298,275
TRIP-00268,2024-07-10,TRK-001,DRV-004,WH1,6,51.1,clear,medium,110,140
TRIP-00269,2024-12-11,TRK-012,DRV-024,WH3,6,44.3,fog,medium,102,153
TRIP-00270,2024-08-10,TRK-003,DRV-008,WH1,21,275.8,clear,low,490,516
TRIP-00271,2024-11-05,TRK-002,DRV-008,WH1,24,250.5,clear,high,489,775
TRIP-00272,2024-09-17,TRK-012,DRV-021,WH3,7,99.3,clear,high,171,243
TRIP-00273,2024-07-30,TRK-003,DRV-001,WH1,7,96.2,rain,medium,168,248
TRIP-00274,2024-07-13,TRK-009,DRV-014,WH2,9,95.4,clear,medium,185,231
TRIP-00275,2024-09-01,TRK-015,DRV-025,WH3,10,92.1,rain,medium,190,278
TRIP-00276,2024-11-22,TRK-010,DRV-015,WH2,23,178.7,clear,high,402,633
TRIP-00277,2024-11-07,TRK-009,DRV-011,WH2,9,92.3,rain,medium,182,289
TRIP-00278,2024-08-14,TRK-009,DRV-010,WH2,6,44.1,clear,low,102,98
TRIP-00279,2024-11-10,TRK-009,DRV-013,WH2,20,163.6,clear,high,358,466
TRIP-00280,2024-08-06,TRK-010,DRV-017,WH2,7,86.9,fog,medium,158,244
TRIP-00281,2024-11-01,TRK-009,DRV-015,WH2,8,66.4,rain,high,144,263
TRIP-00282,2024-12-27,TRK-012,DRV-022,WH3,16,103.2,rain,medium,257,381
TRIP-00283,2024-08-13,TRK-002,DRV-004,WH1,22,252.0,clear,low,473,505
TRIP-00284,2024-09-02,TRK-009,DRV-014,WH2,9,77.2,clear,low,165,150
TRIP-00285,2024-10-03,TRK-003,DRV-005,WH1,20,187.5,rain,low,385,391
TRIP-00286,2024-09-28,TRK-011,DRV-019,WH3,15,135.9,clear,medium,283,367
TRIP-00287,2024-11-05,TRK-005,DRV-004,WH1,17,150.3,clear,low,317,285
TRIP-00288,2024-08-11,TRK-006,DRV-014,WH2,10,98.7,fog,high,198,393
TRIP-00289,2024-10-24,TRK-011,DRV-018,WH3,25,284.1,rain,high,535,983
TRIP-00290,2024-11-24,TRK-001,DRV-002,WH1,21,151.1,clear,low,354,398
TRIP-00291,2024-10-04,TRK-011,DRV-021,WH3,17,140.9,clear,low,307,354
TRIP-00292,2024-07-29,TRK-010,DRV-017,WH2,13,115.9,clear,low,243,238
TRIP-00293,2024-10-24,TRK-001,DRV-004,WH1,19,126.9,snow,medium,309,528
TRIP-00294,2024-09-29,TRK-002,DRV-008,WH1,9,123.5,clear,low,216,212
TRIP-00295,2024-10-04,TRK-008,DRV-016,WH2,16,133.7,rain,low,290,319
TRIP-00296,2024-08-08,TRK-014,DRV-021,WH3,6,89.2,rain,low,151,155
TRIP-00297,2024-07-11,TRK-009,DRV-015,WH2,15,131.1,clear,medium,278,347
TRIP-00298,2024-07-25,TRK-015,DRV-019,WH3,25,167.8,clear,low,408,404
