trip_id,driver_id,vehicle_id,date,distance_km,fuel_used_liters,harsh_braking_events,harsh_acceleration_events,avg_speed_kmph,idle_time_minutes
TRIP-00121,DRV-024,TRK-014,2024-12-15,178.0,14.9,3,2,62.9,32
TRIP-00122,DRV-017,TRK-007,2024-05-18,183.2,13.7,4,6,64.4,33
TRIP-00123,DRV-011,TRK-007,2024-03-13,141.1,10.3,1,3,62.5,17
TRIP-00124,DRV-007,TRK-005,2024-06-08,164.8,12.11,7,7,62.2,20
TRIP-00125,DRV-023,TRK-012,2024-08-23,82.7,7.67,2,0,53.7,30
TRIP-00126,DRV-017,TRK-006,2024-07-06,184.1,18.69,8,0,66.8,28
TRIP-00127,DRV-020,TRK-013,2024-05-05,100.8,8.04,5,3,55.7,22
TRIP-00128,DRV-007,TRK-005,2024-09-23,134.6,9.53,8,6,65.1,29
TRIP-00129,DRV-012,TRK-007,2024-02-12,137.1,10.23,7,6,57.0,28
TRIP-00130,DRV-022,TRK-013,2024-03-24,200.3,15.71,8,5,58.5,31
TRIP-00131,DRV-025,TRK-014,2024-11-03,106.0,8.95,3,3,55.8,16
TRIP-00132,DRV-017,TRK-006,2024-05-04,158.0,18.39,3,3,71.4,31
TRIP-00133,DRV-016,TRK-006,2024-10-07,112.4,11.62,0,4,66.9,37
TRIP-00134,DRV-014,TRK-007,2024-11-11,71.4,5.62,1,1,62.0,15
TRIP-00135,DRV-023,TRK-012,2024-04-02,103.9,9.82,1,1,56.8,25
TRIP-00136,DRV-013,TRK-007,2024-01-23,106.7,8.83,7,2,57.6,13
TRIP-00137,DRV-002,TRK-002,2024-12-28,121.9,10.13,4,3,74.0,19
TRIP-00138,DRV-005,TRK-005,2024-06-17,104.5,7.74,4,2,52.1,25
TRIP-00139,DRV-008,TRK-004,2024-04-02,95.2,6.79,2,7,76.2,36
TRIP-00140,DRV-021,TRK-015,2024-01-18,152.0,17.15,5,1,72.7,25
TRIP-00141,DRV-008,TRK-005,2024-05-24,58.8,4.99,2,2,65.9,22
TRIP-00142,DRV-024,TRK-014,2024-11-10,100.4,8.62,3,1,58.6,19
TRIP-00143,DRV-006,TRK-005,2024-03-01,109.6,8.45,2,0,63.8,17
TRIP-00144,DRV-010,TRK-009,2024-09-08,56.9,5.18,2,0,79.3,19
TRIP-00145,DRV-025,TRK-011,2024-03-02,53.0,4.36,1,0,64.1,38
TRIP-00146,DRV-006,TRK-003,2024-10-29,92.8,9.26,4,1,62.5,24
TRIP-00147,DRV-012,TRK-010,2024-09-13,157.2,10.63,6,5,45.0,27
TRIP-00148,DRV-008,TRK-005,2024-09-04,118.9,9.73,1,6,64.5,19
TRIP-00149,DRV-013,TRK-010,2024-01-09,189.6,15.15,3,6,65.8,26
TRIP-00150,DRV-006,TRK-005,2024-11-10,194.2,14.81,5,2,72.6,17
TRIP-00151,DRV-022,TRK-014,2024-12-27,63.9,5.37,1,1,55.7,32
TRIP-00152,DRV-006,TRK-003,2024-04-12,147.6,15.99,2,3,63.3,42
TRIP-00153,DRV-005,TRK-003,2024-08-27,99.4,10.99,0,0,55.3,34
TRIP-00154,DRV-022,TRK-014,2024-07-18,201.3,17.67,5,7,60.1,45
TRIP-00155,DRV-018,TRK-015,2024-11-06,88.3,10.12,0,1,66.1,21
TRIP-00156,DRV-009,TRK-002,2024-07-25,137.7,11.14,6,6,68.7,31
TRIP-00157,DRV-013,TRK-006,2024-11-03,91.0,11.38,2,0,62.2,11
TRIP-00158,DRV-019,TRK-014,2024-05-03,31.8,2.82,1,1,57.3,20
TRIP-00159,DRV-004,TRK-002,2024-05-26,134.7,11.16,9,1,60.8,26
TRIP-00160,DRV-024,TRK-011,2024-10-30,81.7,6.95,1,1,61.5,27
TRIP-00161,DRV-017,TRK-010,2024-03-13,161.6,11.04,4,3,55.0,28
TRIP-00162,DRV-021,TRK-014,2024-05-26,91.9,7.52,2,2,68.0,25
TRIP-00163,DRV-025,TRK-012,2024-07-06,92.2,9.9,1,4,64.6,30
TRIP-00164,DRV-025,TRK-012,2024-04-10,128.3,13.83,6,3,57.6,26
TRIP-00165,DRV-017,TRK-007,2024-07-01,126.9,9.53,3,1,59.0,32
TRIP-00166,DRV-001,TRK-004,2024-02-27,214.9,15.68,4,3,77.3,9
TRIP-00167,DRV-011,TRK-007,2024-12-09,127.5,10.13,1,0,62.5,24
TRIP-00168,DRV-022,TRK-014,2024-12-03,178.2,14.55,8,5,55.0,28
TRIP-00169,DRV-021,TRK-014,2024-09-18,143.5,11.25,1,2,52.4,50
TRIP-00170,DRV-016,TRK-010,2024-04-07,179.9,10.74,4,1,53.6,15
TRIP-00171,DRV-021,TRK-012,2024-06-30,140.5,15.22,0,3,56.7,23
TRIP-00172,DRV-022,TRK-014,2024-01-10,138.7,11.05,8,7,52.5,13
TRIP-00173,DRV-015,TRK-010,2024-04-24,126.6,7.98,3,2,49.2,9
TRIP-00174,DRV-025,TRK-011,2024-06-30,23.5,1.85,0,0,68.8,37
TRIP-00175,DRV-023,TRK-011,2024-12-11,159.8,13.32,3,0,64.0,25
TRIP-00176,DRV-016,TRK-008,2024-01-06,237.4,18.16,5,3,63.6,24
TRIP-00177,DRV-015,TRK-007,2024-03-05,119.4,8.83,4,6,57.8,14
TRIP-00178,DRV-006,TRK-004,2024-03-19,18.0,1.16,0,0,74.7,23
TRIP-00179,DRV-017,TRK-006,2024-05-07,73.6,8.03,2,3,67.8,28
TRIP-00180,DRV-022,TRK-013,2024-06-12,140.6,10.92,3,5,54.2,25
TRIP-00181,DRV-005,TRK-002,2024-09-26,158.0,12.65,5,7,73.0,31
TRIP-00182,DRV-022,TRK-014,2024-07-06,127.4,10.38,2,2,56.5,21
TRIP-00183,DRV-004,TRK-003,2024-02-26,120.9,12.48,4,4,61.7,21
TRIP-00184,DRV-019,TRK-013,2024-03-02,272.8,21.57,8,8,58.6,24
TRIP-00185,DRV-004,TRK-003,2024-01-16,221.7,24.43,4,4,60.2,26
TRIP-00186,DRV-006,TRK-003,2024-05-04,98.0,9.66,3,3,66.4,22
TRIP-00187,DRV-011,TRK-008,2024-04-15,110.5,9.37,1,1,63.8,12
TRIP-00188,DRV-009,TRK-004,2024-01-27,52.1,4.05,1,3,72.2,44
TRIP-00189,DRV-012,TRK-008,2024-04-01,18.0,1.51,0,0,67.2,28
TRIP-00190,DRV-004,TRK-002,2024-12-21,173.5,15.38,2,3,65.9,47
TRIP-00191,DRV-021,TRK-014,2024-05-11,131.1,9.84,4,1,57.8,10
TRIP-00192,DRV-008,TRK-005,2024-04-14,196.6,16.89,6,2,67.5,30
TRIP-00193,DRV-022,TRK-013,2024-12-23,18.0,1.63,0,0,52.5,25
TRIP-00194,DRV-014,TRK-009,2024-09-30,116.3,11.5,2,2,65.7,18
TRIP-00195,DRV-019,TRK-013,2024-08-31,82.4,6.3,2,1,55.5,22
TRIP-00196,DRV-021,TRK-013,2024-07-11,72.1,5.13,4,3,58.6,16
TRIP-00197,DRV-022,TRK-012,2024-07-21,35.5,3.71,2,0,48.7,26
TRIP-00198,DRV-004,TRK-002,2024-05-29,18.0,1.51,0,0,74.0,17
TRIP-00199,DRV-023,TRK-012,2024-11-30,141.0,13.04,1,1,53.0,24
TRIP-00200,DRV-003,TRK-003,2024-06-22,101.6,12.25,2,3,63.3,23
TRIP-00201,DRV-005,TRK-004,2024-06-16,131.3,9.64,6,6,70.8,20
TRIP-00202,DRV-018,TRK-012,2024-09-06,263.1,27.28,7,4,53.8,14
TRIP-00203,DRV-020,TRK-014,2024-01-06,36.5,3.08,1,0,54.1,33
TRIP-00204,DRV-005,TRK-004,2024-06-16,131.7,9.16,5,2,71.6,25
TRIP-00205,DRV-018,TRK-012,2024-06-05,86.0,9.02,2,0,59.6,20
TRIP-00206,DRV-018,TRK-014,2024-01-20,192.6,16.34,3,5,47.6,31
TRIP-00207,DRV-009,TRK-005,2024-12-28,228.2,19.26,6,8,64.3,24
TRIP-00208,DRV-014,TRK-009,2024-10-04,250.2,24.78,4,7,67.9,26
TRIP-00209,DRV-003,TRK-005,2024-09-09,97.7,8.33,1,0,66.1,16
TRIP-00210,DRV-017,TRK-008,2024-08-26,105.8,9.32,1,2,52.8,36
TRIP-00211,DRV-019,TRK-013,2024-11-28,18.0,1.39,0,1,63.7,17
TRIP-00212,DRV-010,TRK-010,2024-07-27,146.1,8.76,3,2,60.6,17
TRIP-00213,DRV-005,TRK-003,2024-12-12,266.3,28.07,11,11,62.2,21
TRIP-00214,DRV-025,TRK-014,2024-11-21,104.1,8.69,3,5,56.5,33
TRIP-00215,DRV-017,TRK-006,2024-12-20,224.2,26.65,9,4,65.0,20
TRIP-00216,DRV-025,TRK-015,2024-03-30,130.0,16.14,6,1,70.9,16
TRIP-00217,DRV-006,TRK-004,2024-12-06,113.6,7.59,1,1,63.4,19
TRIP-00218,DRV-020,TRK-014,2024-05-20,85.6,7.57,3,2,55.6,18
TRIP-00219,DRV-018,TRK-014,2024-10-28,118.4,9.46,4,2,59.2,24
TRIP-00220,DRV-005,TRK-002,2024-12-05,148.0,13.09,9,7,63.9,23
TRIP-00221,DRV-008,TRK-003,2024-09-04,190.3,21.78,5,3,62.0,19
TRIP-00222,DRV-019,TRK-013,2024-02-18,48.3,3.67,3,0,48.6,13
TRIP-00223,DRV-011,TRK-010,2024-10-07,106.3,7.81,4,1,58.3,31
TRIP-00224,DRV-024,TRK-012,2024-08-01,102.6,11.22,3,1,49.1,23
TRIP-00225,DRV-025,TRK-015,2024-02-15,186.6,22.86,5,4,61.8,20
TRIP-00226,DRV-002,TRK-005,2024-08-23,66.1,5.13,3,3,73.8,19
TRIP-00227,DRV-001,TRK-002,2024-12-18,153.0,11.79,1,0,76.5,21
TRIP-00228,DRV-012,TRK-009,2024-03-12,204.0,20.54,7,4,62.9,28
TRIP-00229,DRV-012,TRK-010,2024-09-15,87.1,5.4,4,4,52.0,35
TRIP-00230,DRV-005,TRK-005,2024-08-24,108.7,8.22,4,3,62.7,30
TRIP-00231,DRV-019,TRK-013,2024-09-12,133.0,9.75,1,1,55.9,30
TRIP-00232,DRV-004,TRK-002,2024-03-23,173.2,13.69,5,2,80.1,33
TRIP-00233,DRV-019,TRK-012,2024-08-25,135.1,15.08,3,3,43.3,17
TRIP-00234,DRV-009,TRK-004,2024-09-23,188.6,13.99,3,4,74.0,34
TRIP-00235,DRV-024,TRK-014,2024-01-10,83.9,6.58,0,1,53.0,11
TRIP-00236,DRV-004,TRK-002,2024-02-22,26.7,2.22,0,1,71.2,10
TRIP-00237,DRV-016,TRK-009,2024-05-07,73.2,6.34,2,1,75.1,31
TRIP-00238,DRV-008,TRK-001,2024-07-29,139.8,10.37,2,2,48.9,24
TRIP-00239,DRV-017,TRK-010,2024-12-08,142.9,9.46,4,4,56.4,11
TRIP-00240,DRV-005,TRK-005,2024-09-04,84.9,7.39,2,3,62.7,32
TRIP-00241,DRV-024,TRK-013,2024-06-22,170.4,12.32,4,3,71.7,23
TRIP-00242,DRV-022,TRK-013,2024-05-05,138.0,11.05,2,6,50.2,15
TRIP-00243,DRV-010,TRK-008,2024-10-06,165.3,13.19,3,6,50.9,32
TRIP-00244,DRV-011,TRK-009,2024-03-12,126.4,12.87,0,1,74.9,31
TRIP-00245,DRV-021,TRK-014,2024-08-19,98.7,7.44,3,2,59.1,26
TRIP-00246,DRV-021,TRK-013,2024-10-07,87.0,6.16,4,2,54.9,15
TRIP-00247,DRV-014,TRK-009,2024-01-04,183.6,17.77,5,3,65.4,20
TRIP-00248,DRV-002,TRK-002,2024-02-14,88.1,6.82,2,3,69.2,26
TRIP-00249,DRV-012,TRK-009,2024-07-05,93.2,9.83,2,2,70.1,43
TRIP-00250,DRV-004,TRK-002,2024-02-16,53.0,4.72,1,0,67.8,14
TRIP-00251,DRV-020,TRK-012,2024-01-01,120.6,12.33,2,1,50.3,16
TRIP-00252,DRV-009,TRK-003,2024-01-10,162.2,18.16,7,6,56.1,23
TRIP-00253,DRV-011,TRK-008,2024-10-21,115.0,10.04,4,1,64.6,12
TRIP-00254,DRV-020,TRK-011,2024-07-09,101.5,8.65,5,4,61.3,24
TRIP-00255,DRV-018,TRK-014,2024-05-16,118.8,8.78,2,2,62.7,24
TRIP-00256,DRV-024,TRK-011,2024-09-17,124.0,10.31,4,3,68.4,32
TRIP-00257,DRV-025,TRK-013,2024-05-11,100.4,7.33,1,2,52.6,21
TRIP-00258,DRV-017,TRK-007,2024-11-02,124.6,9.82,1,2,64.7,26
TRIP-00259,DRV-005,TRK-003,2024-03-03,188.3,19.28,3,5,58.1,10
TRIP-00260,DRV-018,TRK-012,2024-12-17,18.0,1.71,1,0,56.1,23
TRIP-00261,DRV-004,TRK-004,2024-09-16,84.4,5.94,2,4,67.5,9
TRIP-00262,DRV-014,TRK-006,2024-12-24,150.9,17.82,4,4,64.0,27
TRIP-00263,DRV-014,TRK-009,2024-02-14,118.2,11.72,1,2,57.9,38
TRIP-00264,DRV-025,TRK-013,2024-06-21,128.6,10.1,1,2,58.1,41
TRIP-00265,DRV-002,TRK-003,2024-03-25,82.6,9.15,3,1,59.2,25
TRIP-00266,DRV-013,TRK-006,2024-05-09,80.7,11.02,2,2,63.5,32
TRIP-00267,DRV-005,TRK-005,2024-06-03,18.0,1.34,1,0,64.1,22
TRIP-00268,DRV-013,TRK-010,2024-07-15,33.3,2.42,1,1,62.7,15
TRIP-00269,DRV-007,TRK-005,2024-08-30,124.2,9.64,8,3,62.1,19
TRIP-00270,DRV-019,TRK-012,2024-05-08,143.9,16.07,0,5,49.2,21
TRIP-00271,DRV-021,TRK-013,2024-03-31,74.7,5.27,2,1,56.5,28
TRIP-00272,DRV-003,TRK-005,2024-02-18,143.3,12.58,3,5,69.3,31
TRIP-00273,DRV-022,TRK-012,2024-09-02,207.1,20.78,10,8,62.4,17
TRIP-00274,DRV-003,TRK-004,2024-02-09,107.5,7.91,5,3,76.2,36
TRIP-00275,DRV-002,TRK-002,2024-11-06,136.1,10.37,1,3,68.5,26
TRIP-00276,DRV-010,TRK-007,2024-12-18,18.0,1.47,0,0,61.7,26
TRIP-00277,DRV-012,TRK-008,2024-10-28,18.0,1.53,0,0,51.5,33
TRIP-00278,DRV-005,TRK-003,2024-01-31,122.3,12.57,4,3,58.1,27
TRIP-00279,DRV-014,TRK-006,2024-07-28,81.6,9.04,0,0,62.2,32
TRIP-00280,DRV-025,TRK-014,2024-11-05,103.4,9.17,2,1,60.3,25
TRIP-00281,DRV-002,TRK-003,2024-05-27,193.2,19.25,1,1,62.4,31
TRIP-00282,DRV-008,TRK-002,2024-04-10,47.1,3.82,1,0,76.7,16
TRIP-00283,DRV-022,TRK-012,2024-07-11,129.8,13.05,8,4,57.5,10
TRIP-00284,DRV-007,TRK-002,2024-01-18,105.2,8.62,4,5,70.1,16
TRIP-00285,DRV-005,TRK-003,2024-08-10,188.3,20.82,7,6,63.0,20
TRIP-00286,DRV-025,TRK-013,2024-01-16,107.5,8.04,3,2,55.4,30
TRIP-00287,DRV-008,TRK-005,2024-08-23,240.3,20.31,8,2,70.3,38
TRIP-00288,DRV-019,TRK-014,2024-07-21,187.2,17.37,5,4,57.8,16
TRIP-00289,DRV-010,TRK-010,2024-07-14,75.1,4.77,0,1,61.8,16
TRIP-00290,DRV-024,TRK-013,2024-08-17,189.2,14.08,2,5,62.8,30
TRIP-00291,DRV-023,TRK-013,2024-07-08,105.5,7.38,1,0,59.0,9
TRIP-00292,DRV-014,TRK-008,2024-01-01,126.7,10.32,1,2,61.8,21
TRIP-00293,DRV-001,TRK-003,2024-04-12,73.7,8.04,0,0,69.0,18
TRIP-00294,DRV-019,TRK-013,2024-02-01,182.5,14.63,5,1,48.3,20
TRIP-00295,DRV-021,TRK-012,2024-05-18,88.2,8.34,1,3,56.1,33
TRIP-00296,DRV-018,TRK-013,2024-04-10,95.0,6.1,0,2,67.5,25
TRIP-00297,DRV-022,TRK-014,2024-10-17,124.3,10.58,5,3,52.5,38
TRIP-00298,DRV-018,TRK-012,2024-04-15,105.4,9.7,3,1,57.3,31
TRIP-00299,DRV-020,TRK-012,2024-09-01,162.3,18.76,9,7,54.5,26
TRIP-00300,DRV-025,TRK-015,2024-08-25,129.5,16.67,3,2,71.2,9
TRIP-00301,DRV-009,TRK-005,2024-04-21,131.2,10.73,5,7,72.6,19
TRIP-00302,DRV-008,TRK-002,2024-06-01,74.6,6.02,0,1,65.6,29
TRIP-00303,DRV-005,TRK-004,2024-03-03,18.0,1.3,1,0,75.1,23
TRIP-00304,DRV-020,TRK-013,2024-05-20,257.8,19.82,7,7,54.5,42
TRIP-00305,DRV-016,TRK-010,2024-08-30,147.4,9.11,0,4,59.7,4
TRIP-00306,DRV-008,TRK-005,2024-03-05,103.8,9.32,2,0,76.6,28
TRIP-00307,DRV-002,TRK-003,2024-01-21,73.1,7.87,1,2,72.2,37
